,title,link,date
0, 나경원 “정치여정 돌아봐”…김기현은 1위 굳히기 돌입,https://www.khan.co.kr/politics/assembly/article/202301192131015,4시간 전
1," [위기의 민주당을 말한다 ①]“민주당, 수사 방어에 급급해 말고 구체적인 민생 의제 내야”",https://www.khan.co.kr/politics/assembly/article/202301192130015,4시간 전
2," [위기의 민주당] ①이용우 “수사 방어에 급급하고, 경제정책은 ‘로빈훗식’ 발상”",https://www.khan.co.kr/politics/assembly/article/202301191722001,8시간 전
3, [여의도 앨리스] 홍준표는 왜 매일 나경원을 저격할까,https://www.khan.co.kr/politics/assembly/article/202301191705001,8시간 전
4, 민주당 “전국민 듣기평가 또 하나?···국민의힘 ‘UAE의 적은 이란’ 발언 말장난”,https://www.khan.co.kr/politics/assembly/article/202301191632001,9시간 전
5," 민주당·정의당 “국정원 민주노총 압수수색, 철 지난 공안정국 소환”",https://www.khan.co.kr/politics/assembly/article/202301191543011,10시간 전
6," 정진석 “이재명과 김성태, 북한에 뇌물”···사형 처하는 ‘여적죄’ 거론",https://www.khan.co.kr/politics/assembly/article/202301191532011,10시간 전
7, 설 앞두고 파주 군부대 찾은 이재명 “여러분 덕에 우리가 편안” 격려,https://www.khan.co.kr/politics/assembly/article/202301191525001,10시간 전
8, 6개월 만에 호남 찾은 국민의힘 지도부 “5·18 정신 이어갈 것”,https://www.khan.co.kr/politics/assembly/article/202301191217001,13시간 전
9," 김기현, 지지율 상승세 굳히기 전략···“목표는 과반 득표하는 것”",https://www.khan.co.kr/politics/assembly/article/202301191106011,14시간 전
10," 나경원, 홍준표 ‘부창부수’ 발언에 “상당히 유감, 책임지셔야 할 것”",https://www.khan.co.kr/politics/assembly/article/202301191050001,15시간 전
11, 민주당 “이태원 참사 소상공인에게도 재난지원금 지원해야”,https://www.khan.co.kr/politics/assembly/article/202301191000001,15시간 전
12, [리얼미터] 국민의힘 당대표 지지도 김기현 40.3%···나경원·안철수 제치고 1위,https://www.khan.co.kr/politics/assembly/article/202301190823001,17시간 전
13, 이재명 “변호사비 대납 기소하면 미쳤다···팩트 하나도 없어”,https://www.khan.co.kr/politics/assembly/article/202301182159001,2023.01.18 21:59
14, 친윤·초선 ‘역풍’에 잠행 모드…갈림길에 선 나경원,https://www.khan.co.kr/politics/assembly/article/202301182121005,2023.01.18 21:21
15, 이번엔 혼자…이재명 “28일 검찰 출석”,https://www.khan.co.kr/politics/assembly/article/202301182118005,2023.01.18 21:18
16, ‘사의재’로 뭉친 문재인 정부 인사들 “현 정권의 사실 왜곡에 맞설 것”,https://www.khan.co.kr/politics/assembly/article/202301182117015,2023.01.18 21:17
17, 쇄신보다 ‘전위부대’로…‘윤심’만 보는 여당 초선,https://www.khan.co.kr/politics/assembly/article/202301182058005,2023.01.18 20:58
18, ‘이태원 참사 막말’ 김미나 제명안 부결···야당 “제 식구 감싸기”,https://www.khan.co.kr/politics/assembly/article/202301181907001,2023.01.18 19:07
19," “결심 섰다”던 나경원, 윤 대통령과 충돌에 다시 고심하나",https://www.khan.co.kr/politics/assembly/article/202301181757011,2023.01.18 17:57
20," 이재명, “28일 검찰 출석, 아무 잘못 없지만 오라니 가겠다”",https://www.khan.co.kr/politics/assembly/article/202301181732001,2023.01.18 17:32
21, ‘나경원’에 대한 김기현과 안철수의 다른 ‘셈법’,https://www.khan.co.kr/politics/assembly/article/202301181654001,2023.01.18 16:54
22, 문재인 정부 인사 포럼 ‘사의재’ 출범···‘친문 플랫폼’ 되나,https://www.khan.co.kr/politics/assembly/article/202301181630001,2023.01.18 16:30
23, “결선투표가 갈등 키워 후유증 남을 것” 국민의힘 내 우려,https://www.khan.co.kr/politics/assembly/article/202301181621001,2023.01.18 16:21
24, ‘친윤 패권주의 돌격대’ 된 국민의힘 초선의원들,https://www.khan.co.kr/politics/assembly/article/202301181557001,2023.01.18 15:57
25," [속보] 이재명, 두 번째 검찰 출석키로···“28일 출석하겠다”",https://www.khan.co.kr/politics/assembly/article/202301181556001,2023.01.18 15:56
26, 야 3당 “이태원 참사 진상조사위 구성해야”···유가족은 마지막까지 눈물,https://www.khan.co.kr/politics/assembly/article/202301181526001,2023.01.18 15:26
27," “한동훈, 깡패검사짓···탄핵감” 민주당 총공세",https://www.khan.co.kr/politics/assembly/article/202301181408001,2023.01.18 14:08
28," 이재명, 오후 망원시장서 ‘대장동’ 검찰 출석 여부 발표",https://www.khan.co.kr/politics/assembly/article/202301181254001,2023.01.18 12:54
29," ‘윤 대통령, UAE의 적은 이란’ 발언···민주당 “이XX 외교참사 시즌2”",https://www.khan.co.kr/politics/assembly/article/202301181019001,2023.01.18 10:19
30," 정진석 “나경원, 자꾸 대통령 끌어들이는 것 바람직하지 않아”",https://www.khan.co.kr/politics/assembly/article/202301172153001,2023.01.17 21:53
31," 이태원 국조, 이상민 장관 ‘위증’ 고발한다",https://www.khan.co.kr/politics/assembly/article/202301172124025,2023.01.17 21:24
32, 이정미 정의당 대표 “대통령 결선투표제 원포인트 개헌부터 하자”,https://www.khan.co.kr/politics/assembly/article/202301172124015,2023.01.17 21:24
33," “뻔뻔한 이상민…특검 불가피, 별도 기구로 재발 방지 논의”",https://www.khan.co.kr/politics/assembly/article/202301172124005,2023.01.17 21:24
34, 이재명 두 번째 검찰 출석 놓고…친명계·비명계 ‘파열음’,https://www.khan.co.kr/politics/assembly/article/202301172119015,2023.01.17 21:19
35, 나경원 “거의 결심”…여당 당권 대결 ‘후끈’,https://www.khan.co.kr/politics/assembly/article/202301172119005,2023.01.17 21:19
36," 대통령실 “나경원 해임, 윤 대통령이 직접 진상 파악해 결정”",https://www.khan.co.kr/politics/assembly/article/202301172110025,2023.01.17 21:10
37," 이재명, 검찰 진술서 전격 공개···“단 한 푼의 사적 이익도 안 취해”",https://www.khan.co.kr/politics/assembly/article/202301172056001,2023.01.17 20:56
38," 국민의힘 초선의원 48명 성명 “나경원, 윤 대통령에게 사과하라”",https://www.khan.co.kr/politics/assembly/article/202301171803001,2023.01.17 18:03
39, 나경원 “결심 거의 섰다” 출마 시사에···김기현·안철수 빨라진 발걸음,https://www.khan.co.kr/politics/assembly/article/202301171801001,2023.01.17 18:01
40," “나경원, 대통령이 그간 처신 어찌 생각할지 본인이 잘 알 것”···尹, 여당 전대 노골적 개입",https://www.khan.co.kr/politics/assembly/article/202301171743001,2023.01.17 17:43
41, 이태원 국정조사 종료···‘진상규명·책임자 처벌 노력은 끝나지 않았다’,https://www.khan.co.kr/politics/assembly/article/202301171732001,2023.01.17 17:32
42," 민주당, 연이은 이재명 소환 통보에···‘김건희 특검’으로 맞불",https://www.khan.co.kr/politics/assembly/article/202301171725011,2023.01.17 17:25
43," 이태원 국조특위, 야 3당이 보고서 채택···이상민 장관 등 8명 위증 고발",https://www.khan.co.kr/politics/assembly/article/202301171724001,2023.01.17 17:24
44," 민주당, 검찰에 “공작수사·사법살인·관심법”···이재명 출석엔 이견도",https://www.khan.co.kr/politics/assembly/article/202301171713001,2023.01.17 17:13
45," [인터뷰] 우상호 국조특위위원장 “국정조사, 유가족 눈물로 시작하고 끝나···2차 가해 엄벌하는 법 필요”",https://www.khan.co.kr/politics/assembly/article/202301171708001,2023.01.17 17:08
46, 김대기 실장 “대통령이 나경원 처신 어떻게 생각하는지 본인이 잘 알 것”,https://www.khan.co.kr/politics/assembly/article/202301171539001,2023.01.17 15:39
47, 이정미 “대통령 결선투표 원포인트 개헌···재창당 8~9월쯤 마무리”,https://www.khan.co.kr/politics/assembly/article/202301171524011,2023.01.17 15:24
48," “여론조사 블랙아웃 없애자”···선관위, 국회에 선거법 개정의견 제출",https://www.khan.co.kr/politics/assembly/article/202301171508001,2023.01.17 15:08
