,link,body,reporter,title,date,news
0,https://n.news.naver.com/article/025/0003255153?sid=100,"김정은 북한 국무위원장이 과거 도널드 트럼프 미국 전 대통령이 그에게 붙인 별명 ‘리틀 로켓맨’(Little Rocket Man)을 두고 “로켓맨은 괜찮지만, 리틀은 안 괜찮다”고 언급했다고 마이크 폼페이오 전 국무장관이 전했다.24일(현지시간) 비즈니스인사이더에 따르면 마이크 폼페이오 전 장관은 회고록 ‘한 치도 물러서지 말라, 내가 사랑하는 미국을 위한 싸움’(Never Give an Inch, Fighting for the America I Love)에서 이러한 일화를 전했다.      폼페이오 전 장관은 책에서 2018년 6월 12일 싱가포르에서 열린 북미 정상회담 오찬에서 오간 대화를 자세히 담았다.      당시 트럼프 전 대통령은 김 위원장에게 ‘엘턴 존이 누군지 아냐’고 물으며 그의 히트곡 ‘로켓맨’에서 별명을 따왔다고 설명했다고 한다.      폼페이오는 트럼프 전 대통령이 “이 곡(로켓맨)을 멋진 노래라고 하면서, 그 표현을 칭찬인 것처럼 말했다”고 회고록에 적었다.      회고록에 따르면 트럼프 전 대통령의 설명에 김 위원장을 비롯한 참석자 대부분이 웃음을 터뜨렸다.      특히 김 위원장은 “'로켓맨은 괜찮다(OK). ‘리틀’은 안 괜찮다(not OK)”고 농담했다고 폼페이오 전 장관은 회고했다.      폼페이오는 또 “나의 북한 친구(김정은)가 통굽 신발을 신었다는 것을 바로 알아차렸다. 그는 트럼프 대통령보다 1피트(약 30㎝) 작았다”며 “5피트 5인치 정도의 김 위원장은 말그대로 1인치도 양보할 수 없었다”고 적었다.      트럼프 전 대통령은 2017년 트위터에서 김 위원장을 ‘리틀 로켓맨’이라고 처음 언급했다. 대통령 재임 기간 유엔(UN) 총회 연설 등 여러 공식석상에서 이 표현을 사용했다.",배재성 기자,"“김정은, 트럼프에 ‘로켓맨’은 OK, ‘리틀’은 NO”",2023-01-24 23:01:00,중앙일보
1,https://n.news.naver.com/article/025/0003255149?sid=100,"북한이 지난해 신종 코로나바이러스 감염증(코로나19) 극복 성과를 선전하는 다큐멘터리를 방영하며 애국심을 고취하도록 독려하고 있다. 80일 만에 극복한 건 기적이며 특히 김정은 국무위원장의 공이 크다고 했다.조선중앙TV는 23일 저녁 기록편집물 ‘조국청사에 특기할 해 2022년-건국 이래 대동란을 방역대승에로’를 방영하고 지난해 중순 북한이 코로나19 발생을 인정하고 종식을 선언하기까지 약 석 달간 기울인 극복 노력을 소개했다.      프로그램은 “악성 비루스(바이러스)의 우리 경내에로의 침습이라는 위협적인 사태도 문제였지만 그보다 더 큰 문제는 나라의 방역기반과 보건 토대가 취약하고 2년나마지속된 방역 위기로 하여 경제 형편이 매우 어려운 상태에서 사상 초유의 위기를 헤쳐나가야 하는 것”이었다며 “그야말로 건국 이래의 대동란이었다”고 밝혔다.     



북한 조선중앙TV는 지난 23일 저녁 기록편집물 '조국청사에 특기할 해 2022년-건국이래 대동란을 방역대승에로'를 방영하고 지난해 신종 코로나바이러스 감염증(코로나19) 극복 성과를 선전했다. 조선중앙TV 화면, 연합뉴스       그러면서 “사상 초유의 그 위기 속에서 국가와 인민의 안녕을 지키고 뜻밖에 직면했던 가장 중대하고 위협적인 도전을 80여 일 만에 완전히 종식시킨 것은 우리 조국 역사에 일찍이 있어 보지 못한 격동적인 사변이었고 이 행성의 일대 기적이었다”고 선전했다.      김정은 국무위원장은 지난해 5월 12일 코로나 발병 사실을 알리고 최대 비상 방역전으로 전환한 이후 그해 8월 10일 전국비상방역총화 회의를 주재하고 코로나19 사태 종식을 선언했다.      프로그램에서는 전국 지역·단위별 봉쇄·격폐 조치와 확진자 격리 조치가 신속히 실시됐다거나 예비의약품을 긴급해제하고 모든 약국을 24시간 운영체제로 전환한 노력 등을 조명했다. 김일성종합대학 강좌장 교수가 등장해 코로나19 초기에 취한 국경 완전 봉쇄가 결정적인 선행 조치였다고 평가하는 장면도 나온다.      또 방역 사업에 투입됐다가 숨진 군의부문 병사와 진료소 관계자 등을 추모하기도 했다.",배재성 기자,"북한, 코로나19 극복 다큐 방영…“80여일만 종식 기적”",2023-01-24 21:39:00,중앙일보
2,https://n.news.naver.com/article/025/0003255145?sid=100,"북한 매체가 윤석열 대통령의 아랍에미리트(UAE) 방문 당시 발언을 비난하고 나섰다.      북한 대외용 주간지 통일신보는 24일 윤 대통령이 UAE에 파병된 아크부대를 찾았을 당시 'UAE의 적은, 가장 위협적인 국가는 이란이고 우리 적은 북한'이라고 한 발언을 언급하면서 ""또 혓바닥을 잘못 놀렸다""고 비판했다.      앞서 윤 대통령은 지난 15일 UAE 국빈 방문 중 아크부대를 방문한 자리에서 ""UAE의 적은, 가장 위협적인 국가는 이란이고 우리 적은 북한""이라며 ""우리와 UAE가 매우 유사한 입장에 있다""고 말했다.      통일신보는 ""그 말 한마디 때문에 한순간에 적을 만들어놓았다고 남조선에서는 소동이 일어나고 해당 나라는 입장을 명백히 밝히라며 분노를 표시하고 있다""고 주장했다.      그러면서 ""역도가 세계의 면전에서 제 입으로 자기들이 공화국의 적이라는 것을 선언한 셈""이라며 ""밖에 나가서는 초보적인 외교상식도, 의례도 모르고 망발질하여 외교관계를 맺고 있는 상대까지도 적으로 만들었다""고 강변했다.      한편 북한 대외선전매체가 윤 대통령의 해당 발언을 언급한 것은 이번이 처음이다.",하수영 기자,"北매체, 尹 'UAE 적은 이란' 발언 비난 ""해당 나라 분노했다""",2023-01-24 19:49:00,중앙일보
3,https://n.news.naver.com/article/025/0003255144?sid=100,"국민의힘 당권주자로 거론되는 나경원 전 의원이 24일  3·8 국민의힘 전당대회 출마 여부에 대해 “결심은 섰다”고 밝혔다. 나 전 의원의 거취가 전당대회 최대변수로 등장한 가운데 사실상 출마 의지를 드러낸 것이 아니냐는 관측이 나온다.나 전 의원은 이날 오후 자택 앞에서 기자들과 만나 ‘구체적으로 출마냐, 불출마냐’는 질문엔 “내일 말씀드리겠다”며 말을 아꼈다.      한 달 넘게 출마여부에 대한 답을 하지 않던 나 전 의원은 25일 오전 11시 서울 영등포구 국민의힘 중앙당사에서 전당대회 출마에 대한 입장을 직접 밝힌다.      앞서 나 전 의원 측은 이날 “출마 여부를 포함해 나 전 의원이 직접 준비하고 있는 만큼 현재로서는 확답하기 어렵다”며 “고심 끝에 본인이 밝힐 입장을 잘 들어봐 달라”고만 강조했다.      그동안 정치권 안팎에서는 나 전 의원이 출마로 결심을 굳혔다는 관측이 이어졌다.      연휴와 맞물린 윤 대통령 순방 기간 ‘장고 모드’를 표방하면서도 물밑에서 지지자·원로들을 만나며 조언을 구하는 행보 등을 이어왔고 언론 공지방을 개설하는 등 ‘캠프’도 형태를 갖춰가는 듯했기 때문이다.      입장 발표 장소를 ‘여의도 당사’로 정했다는 점도 이런 관측에 무게를 더한다. 이번 전당대회는 당원 100% 투표로 치러지는 만큼 당원들을 상징할 수 있는 당사에서 출마선언을 하기로 한 것으로 보인다.      나 전 의원측은 공지를 하면서 출마여부에 대해 긍정도 부정도 하지 않았다. 정치권에서는 나 전 의원이 출마에 조금 더 무게를 뒀다는 전망이 나온다.      다만 전날까지 발표 내용을 극도로 함구하는 분위기 등으로 볼 때 마지막까지 고민하는 것 아니냐는 예상도 나온다.      앞서 나 전 의원은 그간 출마여부를 두고 한 달 넘게 고심했다. 그 과정에서 대통령실 및 친윤계 의원들과 충돌하고 지지율이 하락하기도 했다.      특히 윤석열 대통령의 해임조치에 대해 “대통령의 본의가 아니었을 것”이란 발언으로 대통령실과 부딪힌 나 전 의원은 설 연휴 동안 이회창 전 한나라당 총재를 만나 조언을 들은 것으로 전해졌다.",배재성 기자,"나경원, 내일 전대 출마 여부 입장 발표…“결심 섰다”",2023-01-24 19:17:00,중앙일보
4,https://n.news.naver.com/article/025/0003255141?sid=100,"28일로 예정된 검찰 출석을 앞두고 이재명 민주당 대표는 설 연휴 기간(21~24일) 공개 행보를 하지 않았다. 앞서 이 대표는 지난 21일 권리당원에게 문자 메시지를 보내 “민주당은 하나 된 힘으로 야당 탄압에 결연히 맞서면서도 국민의 오늘을 지키고 나라의 내일을 바꿀 책무를 잊지 않겠다”라고 했다.              반면에 조정식 사무총장은 24일 기자간담회에서 “검찰이 제1야당 대표에게 밥 먹듯이 소환조사를 하는 막장 수사를 벌이고 있다”며 “민주당이 더 강력하게 싸워야 한다는 주문이 많다”고 말했다. 박성준 민주당 대변인 역시 이날 라디오 방송에서 “검찰이 야당 탄압하고 정적 제거하려고 수사하는 것”이라고 말했다.민주당 핵심 관계자는 “검찰 대응은 최소화하고 재판 단계부터 적극적으로 대응한다는 방침”이라며 “포토라인에 이 대표가 변호사와 단둘이 서도록 하겠다. 의원에게는 동행하지 말아 달라고 공지할 계획”이라고 밝혔다.      이 가운데 이 대표는 25일 당내 강경파 의원모임인 ‘처럼회’ 소속 의원들과 오찬 회동을 할 예정이다. 처럼회에는 초선인 김남국·김용민·김의겸·이수진(서울 동작을)·장경태·최강욱·황운하 의원 등이 참여 중인데, 최근 일부가 윤석열 정부를 규탄하는 장외투쟁에 참석하는 등 당의 강경노선을 주도하고 있다. “검찰의 압력이 거세지는 가운데 당의 대응 방안을 논의할 것”이란 관측이 나왔다. 다만 처럼회 소속 김남국 의원은 24일 페이스북에 “특별한 의제를 논의하기 위해 만든 자리는 아니다”라며 “물가와 민생 안정 대책 등을 이야기할 생각”이라고 밝혔다.      당내에선 위기감도 감지된다. 당장 이 대표 측근 사이에서 “출석을 하든 안 하든 영장 청구는 정해진 수순”(초선 의원), “여러 건을 걸쳐놓고 일단 영장을 칠 것”(중진 의원)이라는 관측이 나온다. 현역 의원인 이 대표는 회기 중 체포동의안 가결 없이 구속되지 않지만, 체포동의안 투표 과정에서 벌어질 ‘방탄 논란’이 부담이다. 비명계에선 “체포동의안은 가결하는 게 관례”(이상민 의원)라는 주장도 나온다.       비명계의 움직임도 빨라지고 있다. 김종민·이원욱 등 비명계 의원 30여명은 31일 ‘민주당의 길’이라는 이름의 모임 발족식을 가질 예정이다. ‘민주당의 길’은 지난해 전당대회 이후 비명계 의원들이 주최해 온 ‘반성과 혁신’을 확대 개편한 모임이다.      



조응천 더불어민주당 의원이 지난해 7월 26일 국회에서 열린 '민주당 반성과 혁신 연속토론회'에 참석, 인사말을 하고 있다. 이번 토론회에서 조 의원은 '민주당 집권 5년 반성과 교훈'이라는 주제로 발제했다. 김상선 기자           이와 관련 '민주당의 길'에 참석하는 한 의원은 통화에서 “모임이 특정인을 겨냥한 게 아니다”라면서도 “공교롭게 날짜가 이 대표의 출석 직후인 터라 관련한 이야기가 나올 수밖에 없지 않겠나”라고 했다.",성지원 기자,"檢 출석 앞둔 이재명, '처럼회'와 회동…비명계는 별도 모임 발족",2023-01-24 18:58:00,중앙일보
5,https://n.news.naver.com/article/025/0003255140?sid=100,"나경원 전 의원이 3ㆍ8 국민의힘 전당대회 출마 여부를 25일 오전에 밝힌다.              나 전 의원의 입장 발표는 25일 오전 11시 서울 여의도 국민의힘 중앙당사에서 이뤄진다. 앞서 나 전 의원 측근인 박종희 전 의원은 “보수의 상징적인 장소에서 출마 선언을 검토 중”이라고 했다. 나 전 의원은 설 연휴 첫날인 21일엔 자신을 정치에 입문시킨 이회창 전 한나라당 총재를 만났었다.       불출마 가능성도 있다. 지난 13일 저출산고령사회위 부위원장직에서 해임된 후 친윤계로부터 '반윤 프레임'에 몰린 그가 “백의종군을 택할 수 있다”는 관측도 나온다. 나 전 의원은 앞서 “(제 해임은) 윤 대통령의 본의가 아닐 것”(17일)이라고 했다가 “대통령의 결정이 맞다”(김대기 대통령 비서실장)는 직격탄을 맞았다. 이후 “윤 대통령에 누(累)가 된 점 깊이 사과드린다”(20일)며 했지만 대통령실은 묵묵부답이다.        특히 24일 참모 회의에선 출마론과 불출마론이 강하게 충돌했다고 한다. 복수의 나 전 의원 측 관계자 말을 종합하면 나 전 의원은 당초 24일 낮 12시쯤 페이스북에 출마 선언 메시지를 낼 예정이었다. 하지만 이날 오전 10시부터 오후 2시까지 4시간여 마라톤 회의가 이어졌다. 불출마를 주장하는 쪽에선 “이전과 달리 낮아진 지지율과 용산 대통령실과의 관계 회복”을 근거로 내세웠다. 회의 막판 나 전 의원은 “내가 고민해 결정하겠다. 내일 어느 쪽으로든 발표할 테니 중앙당사를 대관해달라”며 회의는 마무리됐다.       



국민의힘 차기 당 대표를 뽑는 전당대회를 둘러싼 분위기가 최근 과열되고 있다. 왼쪽부터 김기현 의원, 나경원 전 의원, 안철수 의원. 중앙포토       한때 “출마 가능성은 100%”라던 나 전 의원 주변에서도 불출마론이 나온 건 지지율 하락이 영향을 끼친 것으로 보인다. 1위를 달리던 나 전 의원 지지율은 친윤계와 갈등 후 하락세다. 특히 가장 최근에 공개된 KBSㆍ한국리서치 조사(18~20일)에선 김기현 의원(28.2%)-안철수 의원(19.5%)-나 전 의원(14.9%) 순이었다. (※자세한 사항은 중앙선거여론조사심의위 홈페이지 참조.)      나 전 의원은 이날 저녁 자택 앞에서 취재진과 만나 “내일 말하겠다”고만 말했다.       한편 김기현 의원은 윤심(尹心) 주자 행보를 가속했다. 아랍에미리트(UAE)와 스위스 순방을 마치고 귀국한 윤 대통령을 향해 그는 페이스북에 “이념을 버리고 실용외교의 새 지평을 연 대한민국 1호 영업사원”이라고 했다. 또 민주당이 문제 삼는 윤 대통령의 ‘UAE 적은 이란’ 발언에 대해 “말꼬리를 잡기식 비난”이라며 엄호했다.     



국민의힘 당권주자인 김기현 의원이 24일 오후 서울 여의도의 한 식당에서 열린 ‘연포탕(연대?포용?탕평)’ 기자 오찬 간담회에서 발언을 하고 있다. 김성룡 기자       김 의원은 이날 기자간담회도 열었는데 “저는 당을 하나로 묶어내겠다. ‘철새 정치’ 정치인의 삶을 살아오지 않아서 그렇게 말할 충분한 자격이 있다”고 했다. 대선 후 국민의힘에 입당한 안철수 의원과 바른정당행을 고민하던 나 전 의원을 동시에 겨냥했다는 해석이 나왔다.      안 의원은 김 의원을 맹공했다. 자신을 ‘흙수저’로 칭한 김 의원을 겨냥해 “연포탕(연대ㆍ포용ㆍ탕평)을 외치다가 갑자기 또 진흙탕을 외치니까 당혹스럽다”며 “예전에도 김ㆍ장(김기현ㆍ장제원) 연대를 한다더니 ‘이제 김장연대 없다’고 바꿨다. 상황에 따라 자꾸 이야기가 바뀌는 건 바람직한 자세는 아니다”라고 말했다.     



국민의힘 당권 주자인 안철수 의원이 24일 여의도 국회 인근 식당에서 북한 이탈 주민 간담회 및 떡국 오찬에 앞서 인사말을 하고 있다. 김성룡 기자       다만 안 의원은 나 전 의원에 대해선 “우리 당을 위해서 여러 사람이 출마하는 것이 더 좋다”며 손을 내밀었다.",전민구 기자,4시간 회의에도 출마결론 못냈다…나경원 막판 던진 한마디,2023-01-24 18:48:00,중앙일보
6,https://n.news.naver.com/article/025/0003255137?sid=100,"TF, 한-UAE 48건 MOU 및 후속 조치 이행…기재부·산업부 등 관계부처 한팀         아랍에미리트(UAE) 대통령으로부터 300억 달러(약 37조원)의 투자 약속을 받아낸 윤석열 대통령이 후속 조치를 통해 전면적인 '수출동력 살리기'에 나선다.      24일 대통령실 관계자에 따르면 윤 대통령은 귀국 직후 한국과 UAE가 맺은 총 48건의 양해각서(MOU) 및 계약에 대한 후속 조치를 이행하는 태스크포스(TF) 구성을 지시했다.      기획재정부·산업통상자원부·중소벤처기업부·금융위원회 등 관계 부처가 한 팀을 꾸려 기업의 신속한 수출·투자 성과 창출을 지원하는 게 TF의 주된 목적이다.      TF를 통해 대규모 투자의 특성상 대기업·중견기업·중소기업이 유기적 협력을 도모해야 할 때는 정부 차원에서 컨소시엄 구성이나 해외 진출 등을 적극 지원할 방침이다.      아울러 윤 대통령은 이번 주 법무부·공정거래위원회를 시작으로 행정안전부·통일부·국가보훈처, 금융위원회·공정거래위원회 등으로부터 부처 업무보고를 받는다.      특히 금융위 업무보고는 민관을 망라한 금융권 핵심 관계자들이 한자리에 모이는 '대규모 업무보고' 형식이 될 것으로 전해졌다.      한편 오는 2∼3월 경으로 예상되는 다음 순방지로는 일본이나 미국이 거론된다.특히 일본 강제징용 배상 문제를 풀기 위한 한일 양국의 막판 조율이 얼마나 속도를 내느냐가 향후 순방 일정의 최대 변수인 것으로 전해졌다.      대통령실 내부에서는 3·1절 이전에 최대한 강제징용 문제 해법을 찾고, 한일정상회담을 통해 양국관계를 개선해야 한다는 의견이 나오고 있다.      그러나 일본 문제에 예민한 국민적 정서를 고려해 정부 차원 논의를 지켜보며 최대한 신중한 태도를 유지하려는 분위기도 함께 감지된다.",하수영 기자,"尹, '포스트 순방' 동력 살린다…한-UAE MOU 후속 TF 구성 지시",2023-01-24 18:23:00,중앙일보
7,https://n.news.naver.com/article/025/0003255127?sid=100,"더불어민주당이 24일 “설 밥상 최대 화제는 난방비 폭탄”이라고 주장했다.       조정식 민주당 사무총장은 이날 국회에서 기자간담회를 열고 “난방비 고지서를 받아든 국민이 물가 폭탄에 경악하고 걱정을 토로했다”라면서 “대책 없이 오르는 물가도 문제지만, 정부가 어떤 대책도 내놓지 못하는 것에 분통을 터뜨리는 국민이 많았다”고 밝혔다.      도시가스(중앙·개별난방 가구)와 열요금(지역난방)이 최근 1년 새 각각 38.4%, 37.8% 오른 가운데, 지난 12월 서울 지역 가구별 난방요금이 전월보다 많게는 수십만원씩 늘어난 걸 지적한 것이다.      이어 조 사무총장은 “대통령의 말 폭탄이 설 밥상에 종일 오르내렸다”며 윤 대통령의 ‘아랍에미리트(UAE)의 적은 이란’ 발언도 재소환했다. 민주당은 이날 오영환 원내대변인 명의 논평을 통해 “대한민국 외교와 안보 최대 위협은 바로 윤 대통령”이라고 했다.      이재명 대표를 겨냥한 검찰 수사도 비판했다. 조 사무총장은  “윤석열 정부 검찰 독재의 칼부림이 온 나라를 휘젓고 있다”며 “설 민심은 윤석열 정권이 해도 해도 너무한다는 것이고, 민주당이 더 강력히 싸워야 한다는 주장이 많았다”고 말했다. 김성환 정책위의장도 “정부에 대한 신뢰가 바닥 수준인 것 같다는 느낌”이라며 “이태원 참사 이후로 ‘정부는 존재하는가’라는 심각한 질문을 국민이 하고 있다”고 주장했다.      이 대표의 검찰 출석(28일)을 나흘 앞둔 민주당은 투쟁 강도를 높일 방침이다. 30일 본회의에서 이상민 장관 탄핵안 발의도 검토하고 있다. 당내에선 “국민의힘이 가로막더라도 ‘김건희 특검법’을 추진하자”는 주장도 강하다.      



성일종 국민의힘 정책위의장이 17일 서울 여의도 국회에서 열린 설명절 특별국민안전대책 당·정협의회에서 모두 발언을 하고 있다. 뉴스1       반면에 국민의힘은 이재명 대표의 사법리스크가 설 최대 화두였다고 반박했다. 성일종 정책위의장은 이날 기자간담회에서 “정적제거, 야당 파괴, 정치공작, 정치검찰 등 네 가지 프레임으로 이 대표의 범죄 혐의를 벗으려는 것은 지극히 바람직하지 않다는 게 설 민심”이라고 밝혔다. 김미애 원내대변인도 “이 대표 주변인은 다 전부 기소됐는데 이재명은 왜 저렇게 오래 밖에 있느냐는 민심이 있었다”고 말했다.      국민의힘은 민주당이 꺼낸 ‘난방비 폭탄’ 지적에 대해서도 “왜곡된 민심 청취”라고 반박했다. 양금희 수석대변인은 “막무가내 탈원전 정책으로 한전의 부채는 급증했고 이는 전기요금 인상으로 이어졌음에도 불구하고 이에 대한 반성이 없다”며 난방비 인상 책임을 민주당에 돌렸다.",전민구 기자,"野 “설 밥상 화제는 난방비 폭탄”…與 ""이재명 왜 기소 안하냐더라""",2023-01-24 17:42:00,중앙일보
8,https://n.news.naver.com/article/025/0003255124?sid=100,"대통령실은 윤석열 대통령의 지난주 아랍에미리트(UAE)·스위스 순방 성과에 대해 “모래사막에서 다보스까지 국민 모두 잘사는, ‘다시 대한민국’으로 이어가겠다”며 가시적인 민생 개선 효과를 약속했다.김은혜 홍보수석은 24일 서면 브리핑을 내고 “정부는 이번 정상 간 투자합의를 신속하고 차질없이 이행하기 위해 한-UAE 투자협력 플랫폼을 구축하고, 순방 성과가 가시적인 민생 성과로 이어질 수 있도록 후속 조치를 추진할 것”이라며 이같이 말했다.      김 수석은 “민관이 한팀이 된 이번 경제외교는 300억 달러의 투자 유치, 61억 달러에 이르는 48개의 양해각서(MOU)를 체결했다”며 “풍력터빈 제조 세계 1위 기업인 덴마크의 베스타스가 한국에 3억 달러 투자를 신고함으로써(아시아 태평양 지역본부도 한국으로 이전), 역대 최대 성과를 이끌어냈다”고 소개했다.      그러면서 “순방에 함께한 100여개 기업인 사절단은 ’대한민국 1호 영업사원’과 함께 팀 코리아를 세계에 각인시킨 주역""이라며 ""모래사막에서 다보스까지 국민 모두 잘사는 ‘다시 대한민국’으로 이어가겠다”고 강조했다.",배재성 기자,대통령실 “모래사막에서 다보스까지 ‘다시 대한민국’ 이어 갈 것”,2023-01-24 17:27:00,중앙일보
9,https://n.news.naver.com/article/025/0003255121?sid=100,"비명계 국회의원 일부가 이재명 대표 강성 지지층인 ‘개딸’로 대표되는 ‘팬덤 정치’를 비판하고 나선 가운데, 이 대표 지지층이 이에 반발하는 청원을 올리는 등 맞불을 놓으면서 민주당이 내홍을 겪고 있다.      민주당이 운영하는 ‘청원 게시판’에는 지난 22일 “천원 당원을 비하한 의원들을 징계해달라”는 청원글이 올라왔다. 이 청원은 24일 오후 4시 30분 현재 1만 1000명이 넘는 당원들의 동의를 얻었다.      ‘천원 당원’은 월 1000원 이상의 당비를 내면서 당내 선거에 투표권을 갖는 권리당원을 의미한다. 민주당 당대표나 대선·국회의원 후보 등을 뽑는 당내 선거에 투표권을 갖고 참여하려면, 최소 월 1000원 이상의 당비를 내야 하기 때문이다. 지난 2021년 대선 경선 때부터 이재명 대표를 지지하는 ‘개딸’들이 대거 당비를 납부하며 권리당원이 됐다.      청원 작성자 A씨는 “천원 당원을 비하한 김종민, 이원욱, 조응천 의원의 징계나 탈당을 요청한다”고 했다.      그는 “당원들을 모욕한 의원을 징계해야 한다”며 “천원 당원? 땅을 파봐라. 천원이 나오냐”며 “민주당 의원이 당대표를 공격하고 당원들을 무시하다니. 우리가 내는 세금으로 월급 받으면서 천원당비 내는 당원이 그렇게 우습냐”라고 따졌다.      이어 “그럼 민주당을 나가 달라. 당신들이 있는 민주당에 단 1원도 내고 싶지 않다”며 “저 3명에 대해 낙선 운동을 할 것이다. 저들이 나가면 바로 당비를 올리겠다”고 분개했다.     



더불어민주당이 운영하는 ‘청원 게시판’에 지난 22일 “천원 당원을 비하한 의원들을 징계해달라”는 청원글이 게시됐다. 청원은 24일 오후 4시 30분 현재 1만 1000명이 넘는 당원들의 동의를 얻었다. 사진 더불어민주당 청원게시판 캡처       이원욱, 재선의 김종민·조응천 의원은 당내 비명계로 분류된다. 이들은 최근 라디오 인터뷰 등에서 이 대표에 대한 비판을 이어가고 있다.      김종민 의원은 지난해 11월 토론회에서 “천원 당원 중심으로 가게 되면 동원(되는) 당원 문제를 해결할 수 없다”고 말했다. 이원욱 의원은 이 토론회를 김 의원과 공동 주최했다. 조응천 의원 역시 국회의원들이 강성 팬덤에 떠밀려 다니고 있다고 지적한 바 있다.      이들의 발언은 최근 다시 소환돼 주목을 받고 있고, 이에 징계를 요구하는 청원까지 게시된 상황이다.      SNS 등 온라인에서도 반발이 이어지고 있다. 민주당 권리당원 게시판과 이재명 당대표의 팬카페인 ‘재명이네 마을’에도 “천원짜리라 미안하다”, “나는 5000원 짜리인데 한마디 한다, 세상 어느 국회의원이 당원을 이따위로 깎아 내리냐”, “이재명 대표는 1000원이면 충분하다고 했다” “졸지에 천원 당원 됐다” “천원 당원을 비하한 의원들은 공천에서 떨어뜨려야 한다” 등의 글이 올라왔다.     ━   김종민 ""천원 당원만이 기준이 돼선 안 된다는 것, 당원 비하 아냐…李대표 지지자들도 돌아봐야""        한편 김종민 의원은 이날 SNS에 올린 글을 통해 해당 논란이 '가짜 뉴스'라고 반박했다.      김 의원은 ""지난 11월, 저의 토론회 발언을 거의 가짜뉴스 수준으로 짜깁기 왜곡해서 전파하고 있다""며 ""제 주장의 취지는 정반대다. 당원들의 참여 기회를 늘리고 권리를 확대하자, 정치인에게 동원되는 구조를 바꿔야 한다, 이런 주장이었다""고 해명했다.      그는 ""당내 민주주의로 가려면 당원들이 주체가 돼야 하는데, 지방선거, 총선, 대선 등 선거 때마다 당비 대납, 6개월 당원 등 일부 정치인들에 의해 동원되는 사례가 없어지질 않고 있다""며 ""천원 당비만을 기준으로 삼으면 동원 당원 논란을 해결하기 어렵다고 한 것""이라고 설명했다.      그러면서 ""당원을 비하한 게 아니다""라며 ""오히려 자발적으로 천원 당비내는 당원들의 소중한 참여가 동원당원으로 오해받지 않고, 진짜 권리당원 대접을 제대로 받을 수 있도록 하자는 주장""이라고 부연했다.      김 의원은 다만 이재명 대표 지지층을 향해 ""과도한 비난을 멈춰줬으면 한다""는 취지의 입장도 밝혔다.       김 의원은 ""이재명 대표를 지지하는 분들도 한번 돌아봐야 한다. 이재명 대표가 당 게시판에서 악마화되어 공격받던 때가 얼마 전인데, 그 때하고 똑같은 일이 지금 당 게시판에서 벌어지고 있다""며 ""이재명 대표에 대해 바른소리 좀 했다고 정치적으로 공격하고, 몰아내려고 하는 건 그만해야 한다. 이건 민주주의도, 민주당의 길도 아니다""라고 덧붙였다.",하수영 기자,"""천원짜리라 미안""…'재명이네 마을'에 이런 글 쏟아진 이유",2023-01-24 17:06:00,중앙일보
