index,title,link,date
0," 나경원, ‘윤심·윤핵관’에 주저앉았다···“솔로몬의 재판 진짜 엄마 심정”",https://www.khan.co.kr/politics/politics-general/article/202301251743001,1시간 전
1, 윤 대통령 “글로벌 스탠다드로 정부 시스템 바꿔야”,https://www.khan.co.kr/politics/politics-general/article/202301251732001,1시간 전
2, ‘난방비 폭등’ 쟁점화한 민주당···30조원 추경에 가구당 최대 40만원 지원 제안까지,https://www.khan.co.kr/politics/politics-general/article/202301251548001,3시간 전
3, 국민의힘 “이란과 북은 군사적 일심동체”…윤 대통령 “UAE 적은 이란” 발언 재점화?,https://www.khan.co.kr/politics/politics-general/article/202301251039001,8시간 전
4," [속보] 나경원, 당대표 불출마",https://www.khan.co.kr/politics/politics-general/article/202301250950001,9시간 전
5, 개점 휴업 중인 1월 임시국회,https://www.khan.co.kr/politics/politics-general/article/202301241550001,2023.01.24 15:50
6," 김기현 ‘20대 남성과 유기견’, 안철수 ‘안보와 윤심’···당권경쟁 다른 코드",https://www.khan.co.kr/politics/politics-general/article/202301241512001,2023.01.24 15:12
7, [국민의힘이 전한 설민심] “이재명 대표 피로감 호소”,https://www.khan.co.kr/politics/politics-general/article/202301241347001,2023.01.24 13:47
8, 김기현 “여성 군사기본교육 도입” 재차 주장···군사독재 잔재 ‘교련’ 유사,https://www.khan.co.kr/politics/politics-general/article/202301241041001,2023.01.24 10:41
9," 일제히 ‘민생’ 강조하면서도··· 여 ‘통합’, 야 ‘견제’ 서로 다른 메시지",https://www.khan.co.kr/politics/politics-general/article/202301221408001,2023.01.22 14:08
10, 여당 지지층 당대표 적합도 김기현 1위··· 양자대결에선 안철수 강세,https://www.khan.co.kr/politics/politics-general/article/202301221154001,2023.01.22 11:54
11," 이태원 참사 국정조사 보고서에 청년은 없다···정치권, MZ 틀 깰 수 있을까",https://www.khan.co.kr/politics/politics-general/article/202301221040001,2023.01.22 10:40
12," 민주당 “검찰의 야비한 언론플레이”…법무부 “공소장, 언론에 흘린 적 없다”",https://www.khan.co.kr/politics/politics-general/article/202301212042001,2023.01.21 20:42
13," 꼼수의 연속, 선거제도 변천사…이번엔 다를까?",https://www.khan.co.kr/politics/politics-general/article/202301211949001,2023.01.21 19:49
14, 이태원 참사 100일 다가오는데···갈 길 먼 진상조사기구 설치,https://www.khan.co.kr/politics/politics-general/article/202301211744001,2023.01.21 17:44
15, 이재명 “야당 탄압에 결연히 맞서겠다”,https://www.khan.co.kr/politics/politics-general/article/202301211536001,2023.01.21 15:36
16, 윤 대통령 부부 설인사 “새로운 도약 향해 모든 역량 모으겠다”,https://www.khan.co.kr/politics/politics-general/article/202301211310001,2023.01.21 13:10
17, 2번째 검찰 출석 앞둔 이재명…역대 야당 지도자 검찰 수난사,https://www.khan.co.kr/politics/politics-general/article/202301211040001,2023.01.21 10:40
18, 나경원 “대통령님께 깊이 사과”···‘반윤 프레임’ 털고 ‘당심’ 되돌릴 수 있을까,https://www.khan.co.kr/politics/politics-general/article/202301202042001,2023.01.20 20:42
19, [속보] 나경원 “윤 대통령님께 깊이 사과”…‘대통령 본의 아닐 것’ 후폭풍 진화 나서,https://www.khan.co.kr/politics/politics-general/article/202301201818001,2023.01.20 18:18
20, 귀국 앞둔 윤 대통령 “설 명절 안전관리 철저히 하라”,https://www.khan.co.kr/politics/politics-general/article/202301201547001,2023.01.20 15:47
21," 경찰, ‘닥터카 논란’ 신현영 의원 소환 조사",https://www.khan.co.kr/politics/politics-general/article/202301201309001,2023.01.20 13:09
22," 국민의힘 당권주자들, 설 앞두고 메시지 경쟁…“김장연대, 말장난 말라”",https://www.khan.co.kr/politics/politics-general/article/202301201210001,2023.01.20 12:10
23," 윤 대통령 “미국 확장억제 신뢰, NPT 체제 존중하는 것이 현실적”",https://www.khan.co.kr/politics/politics-general/article/202301201122001,2023.01.20 11:22
24," 이준석 “나경원, 저와 비슷한 경험하고 있다”",https://www.khan.co.kr/politics/politics-general/article/202301201052001,2023.01.20 10:52
