,title,link,date
0, 윤 대통령 ‘중대선거제’ 띄웠지만…전문가들 “유일 해법 아니다”,https://www.khan.co.kr/politics/politics-general/article/202301192131005,4시간 전
1, ‘현타’ 온 나경원? “정치 여정 돌아보고 있다”,https://www.khan.co.kr/politics/politics-general/article/202301191949001,6시간 전
2, 윤상현 “윤 대통령을 특정 정파 대통령으로 한정”···초선 성명 비판,https://www.khan.co.kr/politics/politics-general/article/202301191811001,8시간 전
3," [위기의 민주당] ①이용우 “수사 방어에 급급하고, 경제정책은 ‘로빈훗식’ 발상”",https://www.khan.co.kr/politics/politics-general/article/202301191722001,8시간 전
4," 윤 대통령 ‘중대선거구제’에, 전문가들 “회의적”…“완벽한 선거제는 없다”",https://www.khan.co.kr/politics/politics-general/article/202301191715001,8시간 전
5," 윤 대통령 “첫째도, 둘째도, 셋째도 경제···‘1호 영업사원’으로 더 열심히 뛰겠다”",https://www.khan.co.kr/politics/politics-general/article/202301191710001,9시간 전
6, 정의당 ‘민생비상구’ 출범···‘대안 야당’ 자리매김 전략,https://www.khan.co.kr/politics/politics-general/article/202301191614001,10시간 전
7," 정진석 “이재명과 김성태, 북한에 뇌물”···사형 처하는 ‘여적죄’ 거론",https://www.khan.co.kr/politics/politics-general/article/202301191532011,10시간 전
8, ‘공직선거법 위반’ 이장우 대전시장 벌금형,https://www.khan.co.kr/politics/politics-general/article/202301191427011,11시간 전
9, ‘임신부 전용의자’ 지원···전북도 5급 여성공무원 비율 30%로 늘린다,https://www.khan.co.kr/politics/politics-general/article/202301191407001,12시간 전
10," [속보]검찰, ‘블랙리스트 의혹’ 조현옥 전 인사수석, 전 산업·과기·통일 장관 기소",https://www.khan.co.kr/politics/politics-general/article/202301191346001,12시간 전
11," 김기현, 지지율 상승세 굳히기 전략···“목표는 과반 득표하는 것”",https://www.khan.co.kr/politics/politics-general/article/202301191106011,15시간 전
12," 본격화하는 ‘신공안정국’… “국정원, 전국서 시위하듯 간첩 수사”",https://www.khan.co.kr/politics/politics-general/article/202301181709001,2023.01.18 17:09
13, ‘나경원’에 대한 김기현과 안철수의 다른 ‘셈법’,https://www.khan.co.kr/politics/politics-general/article/202301181654001,2023.01.18 16:54
14, ‘친윤 패권주의 돌격대’ 된 국민의힘 초선의원들,https://www.khan.co.kr/politics/politics-general/article/202301181557001,2023.01.18 15:57
15, 야 3당 “이태원 참사 진상조사위 구성해야”···유가족은 마지막까지 눈물,https://www.khan.co.kr/politics/politics-general/article/202301181526001,2023.01.18 15:26
16," “전범기업 봐주는 굴욕외교”, 수요시위서 정부 강제동원 해법 규탄",https://www.khan.co.kr/politics/politics-general/article/202301181506001,2023.01.18 15:06
17," 윤상현 “나경원, 윤 대통령을 잘못 판단하는 지도자로 비하한 격”",https://www.khan.co.kr/politics/politics-general/article/202301180915001,2023.01.18 09:15
18," 나경원, 대전시당 신년회 불참…김기현·윤상현만 참석",https://www.khan.co.kr/politics/politics-general/article/202301180834001,2023.01.18 08:34
19," 정진석 “나경원, 자꾸 대통령 끌어들이는 것 바람직하지 않아”",https://www.khan.co.kr/politics/politics-general/article/202301172153001,2023.01.17 21:53
