,title,link,date
0," 윤 대통령, 다보스포럼서 “자유무역체제는 글로벌 공공재”",https://www.khan.co.kr/politics/president/article/202301192123005,4시간 전
1," [포토뉴스] 윤 대통령, 다보스포럼서 특별연설",https://www.khan.co.kr/politics/president/article/20230119210500A/?cp,4시간 전
2," 윤 대통령, 다보스 연설 ‘자유와 연대’ 기치로 협력 강화···중국 배제엔 선 긋고, ‘탈원전 폐기’는 재차 강조",https://www.khan.co.kr/politics/president/article/202301191955001,5시간 전
3," 윤 대통령 “첫째도, 둘째도, 셋째도 경제···‘1호 영업사원’으로 더 열심히 뛰겠다”",https://www.khan.co.kr/politics/president/article/202301191710001,8시간 전
4," 윤 대통령, 오늘 스위스 다보스포럼에서 특별연설한다",https://www.khan.co.kr/politics/president/article/202301190702001,18시간 전
5," 윤 대통령, 스위스 경제외교 돌입···시장 중심·규제 완화 ‘세일즈 외교’",https://www.khan.co.kr/politics/president/article/202301190629001,19시간 전
6," 윤 대통령, 글로벌 CEO들 만나 “시장 열려있다···시장 중심으로 할 것”",https://www.khan.co.kr/politics/president/article/202301190405001,21시간 전
7," “결심 섰다”던 나경원, 윤 대통령과 충돌에 다시 고심하나",https://www.khan.co.kr/politics/president/article/202301181757011,2023.01.18 17:57
8," 윤 대통령, 스위스 도착…“보편 가치 공유하는 기술선도국과 협력”",https://www.khan.co.kr/politics/president/article/202301180721001,2023.01.18 07:21
9," 윤 대통령 “과학기술 선택권과 통제권, 생존권만큼 중요”",https://www.khan.co.kr/politics/president/article/202301171931001,2023.01.17 19:31
10," 국민의힘 초선의원 48명 성명 “나경원, 윤 대통령에게 사과하라”",https://www.khan.co.kr/politics/president/article/202301171803001,2023.01.17 18:03
11, 300억달러 투자 유치 성과···‘UAE 적 이란’ 발언으로 또 외교 리스크 자초,https://www.khan.co.kr/politics/president/article/202301171759001,2023.01.17 17:59
12," “나경원, 대통령이 그간 처신 어찌 생각할지 본인이 잘 알 것”···尹, 여당 전대 노골적 개입",https://www.khan.co.kr/politics/president/article/202301171743001,2023.01.17 17:43
13, 김대기 실장 “대통령이 나경원 처신 어떻게 생각하는지 본인이 잘 알 것”,https://www.khan.co.kr/politics/president/article/202301171539001,2023.01.17 15:39
14," 윤 대통령 “한·일관계, 깊은 질곡에 빠져있었으나 최근 개선 흐름”",https://www.khan.co.kr/politics/president/article/202301171517001,2023.01.17 15:17
15," 윤 대통령, UAE 동행 기업인들 만나 “저는 대한민국 영업사원”",https://www.khan.co.kr/politics/president/article/202301170621001,2023.01.17 06:21
16," 대통령실, 2월 한·일 정상회담 가능성에 “예단 이르다”",https://www.khan.co.kr/politics/president/article/202301170456001,2023.01.17 04:56
