,기사제목,기사내용,신문사
0,北 도발에…與 “文정권이 잘못 길들여” vs 野 “尹이 긴장 촉발”,"





김정은 북한 국무위원장. /뉴스1										북한이 2022년 마지막 날인 31일 동해상에 단거리 미사일을 쏘며 도발한 것에 대해 여야가 책임공방을 벌였다.박정하 국민의힘 수석대변인은 이날 논평을 통해 “지난 정권에 잘못 길들여진 북한에는 단호한 대응만이 답이다”라며 문재인 정권 책임론을 제기했다. 반면 이경 더불어민주당 상근부대변인은 논평을 통해 “군 미필 대통령의 무모한 초강경 발언들 역시 군사적 긴장을 촉발하고 있다”며 윤석열 대통령 책임론을 제기했다.박정하 대변인은 “새 정부 탄생 후 그간 축소됐던 한미 훈련이 강화되고, 대북 확장 억제에 대한 국제사회의 공조도 어느 때보다 공고하다”며 “이런 상황에서 북한이 하루가 멀다고 도발을 자행하는 것은 김정은(북한 국무위원장) 스스로 자신의 위기를 인식하고 있다는 방증으로 보인다”고 했다.박정하 대변인은 “과거의 대한민국이 아니다. 우리 국민이 북한에 피격당하고 태워지는 끔찍한 사건이 발생해도 말 한마디 못 했던 그런 비겁한 정권이 아니라는 것이다”라며 “도발에 평화를 운운하며 헛소리하는 지난 정권에 길들여진 북한에는 단호한 대응만이 답이다. 우리 국민의 안위를 위협하는 북한의 도발은 스스로 고립을 심화시키는 자해행위라는 점을 분명히 하며, 도발에는 혹독한 대가가 따를 것임을 엄중 경고한다”고 했다.이경 부대변인은 “북한에 군사적 도발을 멈출 것을 촉구한다. 북한이 한반도의 군사적 긴장을 높여 얻을 수 있는 것은 고립 외에는 아무것도 없음을 분명히 경고한다”면서도 “군 미필 대통령의 무모한 초강경 발언들 역시 군사적 긴장을 촉발하고 있다. 결과가 어떻게 되든 힘겨루기를 하겠다는 것인가”라고 했다.이경 부대변인은 “윤석열 정부가 북의 도발에 맞서 발언 수위만 높이고 있으니 국민은 불안하다”며 “대응책도 마련하지 않는 강경 일변도의 대응을 멈추시라. 군사적 긴장만 고조시킬 뿐이다. 안보 컨트롤 타워인 국가안전보장회의를 가동하고 군사 전문가들의 의견을 수렴해 안보 전략부터 가다듬는 것이 먼저”라고 했다.

",조선일보
1,"여야, 베네딕토 16세 전 교황 선종에 한목소리 애도","





악수하는 프란치스코(오른쪽) 교황과 베네딕토 16세 전 교황의 손. 베네딕토 16세는 31일 바티칸에서 선종했다. /AP 연합뉴스										여야는 31일 베네딕토 16세 전 교황의 선종 소식에 애도를 표했다.국민의힘 박정하 수석대변인은 논평을 통해 “현세에서의 삶에 집착하는 신도의 모습이 아닌, 순례자로서 마지막까지 살아온 모습은 앞으로도 모든 가톨릭 신도에게 기억될 것”이라며 “깊은 애도를 표한다”고 밝혔다.박 수석대변인은 “베네딕토 16세는 무려 598년 만에 스스로 권좌에서 내려온 교황으로 가톨릭 쇄신의 상징이 됐다”며 “급변하는 세상에서 가톨릭 교리를 수호하는 데 전력했다”라고 했다.



국민의힘과 더불어민주당 로고. /조선일보DB										더불어민주당 박성준 대변인도 서면 브리핑에서 “교회의 전통을 되살리는 데 힘쓴 교황이자 선종 때까지 교황의 자리를 지키는 전통을 깬 교황이기도 하다”며 “종교적으로는 보수적이었지만 사회 문제들에 대해서는 열린 자세를 취하기도 했다”고 밝혔다.박 대변인은 “우리와도 각별한 인연이 있다. 정진석 대주교를 추기경으로 임명했으며, 평화로운 수단을 통한 한반도 비핵화를 촉구했고 남북 이산가족 재결합을 위해 기도하겠다는 뜻을 밝히기도 하셨다”며 “선종에 애도를 표하며 슬픔에 잠긴 전 세계 가톨릭 신자들에게 깊은 위로의 마음을 전한다”고 했다.

",조선일보
2,北 미사일 도발에 與 “단호히 대응” 野 “도발 멈추라”,"

與 “혹독한 대가 따를 것”野 “尹대통령 발언 역시 긴장 촉발”



한겨울 이른 아침 찬바람과 세차게 몰아치는 파도에도 경북 영덕군 동부 해안선을 지키는 육군 50사단 장병들의 눈빛은 흔들림이 없다.  /뉴스1										여야는 올해 마지막 날인 31일 북한이 동해상으로 단거리탄도미사일(SRBM)을 발사한 데 대해 비판했다.여당은 단호한 대응의 필요성을 강조했다. 야당은 도발 중단을 북한에 촉구하면서도 우리 정부의 도발 대응에는 문제를 제기했다.국민의힘 박정하 수석대변인은 이날 논평에서 “도발에는 혹독한 대가가 따를 것임을 엄중히 경고한다”며 “도발에 평화를 운운한 채 헛소리하는 지난 정권에 길든 북한에는 단호한 대응만이 답”이라고 밝혔다.박 수석대변인은 “새 정부 탄생 후 그간 축소됐던 한미훈련이 강화되고, 대북 확장 억제에 대한 국제사회의 공조도 어느 때보다 공고하다”며 “이런 상황에서 (미사일 발사는) 김정은 스스로 자신의 위기를 인식하고 있다는 방증으로 보인다”고 했다.이어 “(현재의 대한민국은) 과거의 대한민국이 아니다”라며 “우리 국민이 북한에 피격당하고 태워지는 끔찍한 사건이 발생해도 말 한마디 못 했던 그런 비겁한 정권이 아니라는 것”이라고 했다.



경북 영덕군 동부 해안선을 지키는 육군 50사단 장병들.  /뉴스1										더불어민주당 이경 상근부대변인은 논평에서 “북한이 탄도미사일을 또 발사해 남북의 군사적 긴장이 계속 높아진다”며 “북한이 한반도의 군사적 긴장을 높여 얻을 수 있는 것은 고립 외에 없음을 경고한다”고 말했다.다만, 이 부대변인은 “군 미필 대통령의 무모한 초강경 발언 역시 군사적 긴장을 촉발하고 있다”고 했다. 그러면서 “안보 컨트롤타워인 국가안전보장회의를 가동하고 군사 전문가의 의견을 수렴해 안보 전략부터 가다듬는 것이 먼저”라며 “윤석열 정부와 여당의 섣부르고 어설픈 대응에 국민의 안전이 위협받을 수는 없다”고 했다.

",조선일보
3,"태영호 “김정은, 윤석열의 ‘비례대응 덫’에 빠졌다”","





김정은 북한 국무위원장은 지난달 31일과 1일 각각 발사한 초대형 방사포(600㎜)에 대해 ""남조선전역을 사정권에 두고 전술핵탑재까지 가능한 공격형 무기""라고 밝혔다. 12월 31일 평양 노동당 중앙청사 앞에서 열린 초대형 방사포 증정식 모습./조선중앙통신 연합뉴스 										북한 외교관 출신인 태영호 국민의힘 의원은 최근 북한의 잇따른 단거리탄도미사일(SRBM) 도발과 관련 “윤석열 대통령의 ‘비례대응 덫’에 빠진 것”이라고 평가했다.태영호 의원은 31일 페이스북을 통해 “북한이 31일 오전 8시경 단거리탄도미사일(SRBM) 3발을 발사했다. 이번에 발사된 단거리탄도미사일 3발이 모두 고체연료 추진 방식의 KN계열이라고 한다”며 “그렇다면 이것은 30일 우리가 성공한 고체연료 추진 우주발사체 시험비행에 대한 맞대응 성격이 강하다. 김정은(북한 국무위원장)이 윤석열 정부의 군사적 ‘비례대응 전략’에 말려든 셈”이라고 했다.태영호 의원은 “최근 김정은 정권의 군사동향을 살펴보면, 윤석열 정부의 비례대응 전략에 김정은의 전략도 ‘맞짱 대결 전략’으로 수정된 것 같다”며 “윤석열 정부가 북한의 전례 없는 미사일 도발에 대한 비례 대응으로 한미일 안보협력체계를 강화하고 거의 5년 동안 하지 않았던 한미합동훈련을 정상화하자 김정은 정권은 누가 보아도 열악한 전투기와 폭격기까지 동원하며 한·미·일을 상대로 군사시위를 벌였다”고 했다.이어 “핵 완성을 선포하고 핵 무력 법제화까지 나간 김정은이 ‘비례대응’, ‘맞짱 뜨기 전략’으로 나가지 않으면 오히려 북한 내에서 지도적 지위가 흔들릴 수 있기 때문”이라며 “앞으로 남북 사이에 ‘군사적 비례대응’, ‘맞짱 뜨기식 군사적 시위’가 이어진다면 취약한 경제를 가진 김정은 정권은 오래 버티기 힘들게 된다”고 했다.



태영호 국민의힘 의원. /뉴시스										태영호 의원은 “북한 정권도 과거 구소련이 미국과의 군비경쟁을 벌리다 정권 붕괴를 자초한 사실을 잘 알고 있다”며 “그러므로 윤석열 정부는 북한의 군사 도발 때마다 ‘비례대응’ 원칙을 크게 떠들면서 실천행동으로 보여 주어야 한다. 우리가 비례 대응을 떠들면 떠들수록 김정은은 허세를 부리면서도 고충이 깊어질 것이고 결국 대화로 나올 수밖에 없게 될 것”이라고 했다.

",조선일보
4,이재명 “정권 무능·오만 좌시않겠다” 與 “국민 앞에 염치도 없어”,"





이재명 더불어민주당 대표. /뉴스1										더불어민주당 이재명 대표는 30일 “찰나에 불과한 권력에 도취된 정권의 무능, 오만, 무책임을 좌시하지 않겠다”고 말했다. 국민의힘은 “예상 못 한 바 아니지만 민주당의 행태가 해도 해도 너무하는 것 아닌가”라며 “민주당의 ‘방탄 국회’ 요구, 국민 앞에 염치없다”고 했다.이 대표는 이날 배포한 ‘2023년 신년사’에서 “국민께서 힘겹게 쌓아 올리고 다져온 민생, 민주주의, 평화의 토대가 사방에서 무너지고 있다”며 이같이 밝혔다.이 대표는 “민생경제가 더 큰 어려움에 직면할 것이라는 전망이 많고, 민주주의를 말살시키는 검찰정권의 야당파괴·정치보복 폭주가 멈출 기미를 보이지 않는다”며 “한반도 평화가 흔들리지만, 정부는 아무런 해법도 없다”고 했다.이 대표는 “어둠이 깊어질수록 새벽은 가까워지는 법”이라며 “지금 마주한 위기도 더 큰 도약을 위한 기회가 될 수 있다”고 했다.이어 “민주당은 올해 백척간두에 놓인 민생경제를 구하고, 검찰독재 정권의 일탈을 저지하겠다”며 “한반도 평화와 대한민국의 더 나은 미래를 열겠다”고 했다.이 대표는 “민주당의 존재 이유도, 저의 정치적 소명도 오직 ‘국민주권’이고 국민의 삶”이라며 “어떤 고난에도 굴하지 않고 국민을 위해 싸우겠다”고 했다.



박정하 국민의힘 수석대변인. ./뉴스1										이런 가운데, 국민의힘 박정하 수석대변인은 이날 논평을 내고 “민생법안 처리에는 지금까지 나 몰라라 내팽개치며 공당으로서의 책임을 방기하고선 이제 와 임시국회를 열겠다고 한다”면서 “핑곗거리를 찾다 찾다 밀쳐뒀던 ‘민생’을 다시 끌고 나와 대놓고 ‘방탄 국회’를 열어야 한단다. 벼룩도 있다는 낯짝이 민주당에는 없는 것 같은 뻔뻔함”이라고 했다.그는 “당 대표 한 사람 지키고자 당력은 물론 국력까지 낭비하는 모습이 염치없다”면서 “1년 내내 국회를 열어두겠다는 속셈은 혹여라도 이재명 대표 체포동의안이 국회로 넘어올 때  부결시키겠다는 계산 그 이상도 그 이하도 아닐 것”이라고 했다.이어 “2023년이 하루 앞으로 다가왔다”며 “부디 새해에는 ‘나라 생각’, ‘국민 생각’ 좀 해주길 민주당에 간곡히 호소한다”고 했다.

",조선일보
5,"“악담 가득” “존경받을 권리 차버려”... 與, 文신년사에 반발","

“갈등·분열 조장하는 못된 습관…잊힌 존재 될까 불안한가”



문재인 전 대통령. /뉴스1										국민의힘은 31일 문재인 전 대통령이 신년사에서 현 정국을 비판적으로 언급한 것과 관련 “존경받을 권리마저 스스로 차버렸다”고 반발했다.문 전 대통령은 전날(30일) 공개한 신년사에서 “치유되지 않은 이태원 참사의 아픔과 책임지지 않고 보듬어 주지 못하는 못난 모습들이 마음까지 춥게 한다” “경제는 어렵고, 민생은 고단하고, 안보는 불안하다” 등의 발언을 했다.박정하 국민의힘 수석대변인은 31일 논평을 통해 “잊혀진 삶을 살겠다던 문재인 전 대통령이 국민들로 하여금 완전히 잊힌 존재가 될까 봐 불안한 모양”이라며 “국민을 갈라치기하고 갈등을 조장하는데 앞장섰던 대통령답게 퇴임 후 보낸 연하장에서도 갈등과 분열을 조장하는 못된 습관이 고스란히 녹아있다”고 했다.박정하 대변인은 “문재인 정권의 내로남불 사례를 일일이 정리하다가 중도에 그만뒀다는 어느 진보학자는 굳이 지적할 것도 없이 거의 모든 게 내로남불이었다고 했다”며 “지난 시절 저지른 내로남불과 통계조작에 사죄하고 자숙해도 모자랄 판에 시시때때로 목적성 목소리를 낸다”고 했다.이어 “대한민국의 경제를 어렵게 만들고 있는 것은 문재인 대통령의 친정인 바로 민주당”이라며 “윤석열 대통령의 국정과제를 사사건건 발목 잡고 경제 회복의 마중물을 차단하기 바쁘다. 문재인 전 대통령은 참사의 아픔을 운운하기 전에 아비규환의 현장을 홍보무대로 활용한 자당 (신현영) 의원에 대해선 왜 침묵하는가”라고 했다.박정하 대변인은 “사회의 갈등과 분열을 조장하는 전직 대통령의 행태가 참으로 개탄스럽다”며 “공식적으로 성명을 내는 결기도 없으면서, 뒤에서 구시렁거리는 모습에 존경심이 생겨날 수 없다”고 했다.그러면서 “존경받을 권리마저 스스로 차버린 전직 대통령의 비겁한 위선이 올해의 마지막 날을 씁쓸하게 한다”며 “풍산개의 겨울이 어느 해 보다 추울 것 같다. 책임지지 않고 보듬어 주지 못한, 문재인 전 대통령이 버린 곰이와 송강이 말이다”라고 했다.권성동 국민의힘 의원도 31일 자신의 페이스북을 통해 “문재인 전 대통령이 악담이 가득한 신년사를 내놓았다”며 “일국의 대통령까지 지냈으면 최소한 신년 메시지만큼은 정제할 줄 알아야 한다”고 비판했다.권성동 의원은 “문 전 대통령이 망친 나라를 윤석열 정부가 정상화하는 중이다. 그러니 저급한 훈수는 그만두시길 바란다”며 “요새 표현대로 ‘어그로’를 끌면서 어떻게 잊혀진 대통령이 되겠나?”라고 했다.

",조선일보
6,군 출신 김병주 계속된 北 무인기 용산행 주장...軍 “사실 아니야…유감”,"





더불어민주당 김병주 의원(오른쪽)과 윤건영(왼쪽) 의원. /연합뉴스										군 당국이 최근 4성 장성 출신인 더불어민주당 김병주 의원이 북한 무인기 침투 사건과 관련한 주장에 대해 거듭 사실이 아니다면서 유감을 밝혔다.국방부는 31일 북 무인기 항적에 대한 김병주 의원 주장을 인용한 중앙일보 보도에 대해 입장문을 내고 “지난 26일 군사분계선(MDL)을 침범했던 북한 무인기는 용산 상공의 비행금지구역을 진입한 사실이 없다”면서 “현 북한의 기술 수준을 고려시 당일 비행경로상에서 유의미한 정보를 얻을 수는 없었을 것으로 평가하고 있다”고 밝혔다.국방부는 그러면서 “우리 군은 용산 상공 일대에 대한 견고한 방공감시태세를 유지하고 있다는 점을 알려드린다”고 했다.김병주 의원은 지난 29일 라디오에 출연해서도 “비행궤적을 보니까 북 무인기가 은평구, 종로, 동대문구, 광진구, 남산 일대까지 왔다 간 것 같다”며 “(대통령실이 있는) 용산으로부터 반경 3.7㎞가 비행금지구역(P-73)이다. 그 안을 통과했을 확률이 높다”고 주장했다.



김병주 국회 국방위원회 더불어민주당 간사(왼쪽)와 김승겸 합동참모의장. /국회사진기자단										이에 합동참모본부 이성준 공보실장은 브리핑에서 “북한 무인기가 비행금지구역 P-73을 침범했다는 이야기는 전혀 사실이 아니다”며 “사실이 아닌 근거 없는 이야기에 대해 강한 유감을 표명한다”고 했다.예비역 4성 장군으로 문재인 정부 때 한미연합사 부사령관을 지낸 김 의원이 군 관련 주장으로 논란이 된 것은 처음이 아니다. 그는 지난 9~10월 북 핵·미사일 도발에 대응하기 위해 한미일 3국이 연합훈련을 실시한 데 대해서도 이를 ‘친일 국방’이라는 취지로 주장하며 반대해 논란이 일었다. 당시 그는 라디오에 나와서 “한미일 군사 동맹을 하면 지금 미국이 상주하듯 일본 자위대가 한국에 들어올 수 있다”며 “유사시도 그렇고 평시에도 들어올 수 있다”고 주장했다. 그는 한미일 훈련에 대해선 “두 가지 토끼를 다 놓치는 꼴”이라며 “가장 큰 위협이 북핵인데 한미일 훈련을 하면 중국과 러시아가 더 반기를 들어 북 비핵화가 어렵게 된다”고 했다.



북한의 탄도미사일 발사 장면. /뉴스1										그러나 그가 비판한 한미일 해상 훈련은 김 의원이 연합사 부사령관으로 근무한 1년 8개월간(2017년 8월~2019년 4월)에만 최소 6차례 실시됐던 것으로 파악됐다. 3개월에 한 번꼴이다. 합참 자료 등에 따르면, 한미일 미사일 경보 훈련은 2017년에 10월과 12월, 2018년 8월과 11월, 2019년에 4월 등 총 5차례 실시됐다. 훈련 해역은 모두 동해 공해가 포함된 한·일 해역이었다. 2018년 8월에는 한미일 뿐 아니라 호주·캐나다가 참여해 하와이 근해에서 탄도미사일 탐지·추적 훈련도 했다.이에 역대 한미연합사 부사령관 모임인 ‘연부회’는 ‘김병주 의원이 사실을 왜곡해 친일 몰이 소재로 삼고 있다’고 비판하는 입장을 냈다. 연부회 제명 등 후속 조치도 논의됐었다.김 의원은 더불어민주당 이재명 당 대표의 국방 관련 참모 역할을 하는 것으로 알려졌다.

",조선일보
7,"文 “민생 고단, 안보 불안” 신년사에...권성동 “악담 가득, 자중하라”","

										국민의힘 권성동 의원은 31일 문재인 전 대통령이 신년사에서 현 정국을 비판적으로 언급한 것을 두고 “악담이 가득한 신년사를 내놓았다”며 “부디 자중하시며 도를 넘지 마시길 바란다”고 했다.



권성동 국민의힘 의원. /뉴스1										권 의원은 이날 페이스북에 새해를 맞아 문 전 대통령이 내놓은 신년사 일부 대목을 거론하며 “본인의 뒤틀린 심사를 풀어냈다”면서 이렇게 비판했다.문 전 대통령은 전날 각계에 보낸 신년 연하장에서 “치유되지 않은 이태원 참사의 아픔과 책임지지 않고 보듬어주지 못하는 못난 모습들이 마음까지 춥게 한다”고 했다. “경제는 어렵고, 민생은 고단하고, 안보는 불안하다. 새해 전망은 더욱 어둡다”라고도 했다.권 의원은 이에 대해 “문 전 대통령의 악담은 품격이 떨어지는 것은 둘째 치고, 도저히 본인이 쓸 수 없는 언사”라며 “사고 앞에서 못난 모습을 보인 당사자가 문 전 대통령 자신이다. 해수부 공무원 월북조작 사건에 대해 여전히 비겁한 변명으로 일관하고 있다”고 했다.권 의원은 “솔직히 문 전 대통령이 이재명 민주당 대표보다 대한민국에 끼친 해악이 훨씬 크다. 이 대표가 ‘권력형 비리’라면, 문 전 대통령은 ‘권력형 망국’ 수준”이라며 “이 대표가 나라’에서’ 해먹었다면, 문 전 대통령은 나라’를’ 해먹었다고 해도 과언이 아니다”라고 했다.권 의원은 “문 전 대통령이 망친 나라를 윤석열 정부가 정상화하는 중이니 저급한 훈수는 그만두시길 바란다”며 “요새 표현대로 ‘어그로(관심을 끌기 위한 말이나 행동)’를 끌면서 어떻게 잊혀진 대통령이 되겠나”라고 했다.

",조선일보
8,"北, 동해상 탄도미사일 3발 발사… 南 고체추진 발사체 성공 다음날","

무인기 도발 닷새만에



북한 탄도미사일 발사 자료 사진. /노동신문										북한이 31일 오전 황해북도 중화군 일대에서 동해상으로 탄도미사일 3발을 발사했다. 지난 26일 북한 군용기 5대로 우리 영공을 침범한 지 닷새만의 도발이다. 탄도미사일 기준으로는 지난 23일 평양 순안에서 동해상으로 단거리탄도미사일(SRBM) 2발을 발사한 이후 8일만이다.합동참모본부는 이날 “북한이 이날 황해북도 중화군 일대에서 동해상으로 탄도미사일 3발을 발사했다”면서 “우리 군은 감시와 경계를 강화한 가운데, 한미 간 긴밀하게 공조하면서 만반의 대비태세를 유지하고 있다”고 밝혔다. 탄도미사일은 350여 km를 비행 후 동해상에 탄착한 것으로 탐지됐다. 군 당국은 비행거리, 고도 등 미사일의 구체적 제원을 추가 분석 중이다.



연말 저녁에… - 30일 밤 서울 옥수동 상공에서 목격된 고체연료 추진 우주발사체 궤적의 모습. /연합뉴스										전날 우리 군 당국은 충남 태안 안흥시험장에서 서해상으로 정점 고도 450km에 도달하는 고체 연료 추진 엔진의 우주 발사체를 성공적으로 시험 발사했다.



북한은 30일 김정은 사회로 당 중앙위원회 본부청사에서 노동당 중앙위원회 제8기 제12차 정치국 회의를 열었다고 조선중앙통신이 31일 보도했다. 회의에는 당 중앙위 정치국 상무위원회 위원들과 당 중앙위 정치국 위원 및 후보위원들이 참석했다. /조선중앙통신										조선중앙통신에 따르면, 북한은 전날인 30일 노동당 중앙위원회 제8기 제6차 전원회의 5일차 회의를 진행했다. 김정은은 북한 신년 국정방향을 논의하는 노동당 전원회의의 결과물인 결정서 초안을 최종 완성, 1월 1일 발표할 것으로 보인다. 김정은은 회의에서 “최근 우리 혁명앞에 조성된 주객관적 형세와 앞으로 예견되는 조건과 환경에 대하여 분석”하면서 “우리 당과 정부가 일관하게 틀어쥐고나가야 할 전략전술적 원칙과 투쟁 방향”을 밝혔다고 통신은 전했다.

",조선일보
9,"공공요금 잇단 인상, 설민심에 불똥튈라… 與 “물가대책 낼 것”","

										국민의힘은 30일 설 명절에 대비해 다음 달 초 장바구니 물가 안정 대책을 마련하겠다고 밝혔다. 국민의힘 성일종 정책위의장은 이날 오전 국회에서 열린 원내대책회의에서 “내년 상반기까지는 세계적 경기 침체의 여파가 계속될 것으로 전망되고 있다”며 “당장 설 명절을 앞두고 장바구니 물가 걱정을 덜어드리기 위해 정부와 신속하게 대책 마련에 나서겠다”고 했다.



올해 소비자물가가 5% 넘게 오르며 외환위기 이후 24년 만에 최고치를 기록했다.30일 오전 서울 서초구 농협 하나로마트 양재점의 닭고기 판매대의 모습./연합뉴스										여당은 내년부터 전기·가스 요금 인상이 예고된 상황에서 설 연휴를 전후해 장바구니 물가가 상승하면 모처럼 안정적 흐름을 보이고 있는 대통령의 국정 운영 지지율에 영향을 미칠까 염려하는 분위기다. 성 의장은 “한파로 인한 난방비 부담과 여전한 고금리 문제, 1월에 설 명절까지 있으면서 새해를 맞이하는 국민의 마음이 편하지만은 않은 상황”이라고 했다. 그러면서 “설날까지 지속적으로 관리해 국민 여러분이 걱정하지 않도록 철저히 대비하겠다”며 “취약 계층이 난방비 걱정을 덜고 추운 겨울을 보낼 수 있는 다양한 민생 부담 완화 방안도 마련하겠다”고 했다.여당은 전기ㆍ가스 요금 복지 할인 확대, 에너지 바우처 단가 인상 등을 통한 겨울철 취약계층 연료비 부담 완화 방안을 검토하고 있다. 여기에 등유 바우처 및 연탄 쿠폰 지급액 확대, 농가 난방비 보조금 지급 방안 등도 논의가 이뤄지고 있다고 한다. 통계청이 이날 발표한 12월 및 연간 소비자물가 동향에 따르면 도시가스와 지역난방비는 각각 36.2%, 34.0% 올라 겨울철 난방비가 급등한 것으로 나타났다. 국민의힘 관계자는 “관련 부처에서 물가 안정 대책을 마련 중인 것으로 알고 있다”며 “물가 안정과 민생은 정부·여당의 최우선 정책”이라고 했다.국민의힘은 이와 함께 올 한 해 정부·여당이 추진한 정책 성과로 납품단가연동제, 중소기업스마트혁신법, 농어촌 직불제 개선법, 카카오 먹통 재발 방지법, 자동차보험료 인하, 금융안정대책, 택시 승차난 해소 등을 꼽았다. 성 의장은 “이런 노력으로 최근 물가상승률은 12월에 전년도 대비 5%로 상승세가 완만해지고 있고 농축수산물이나 석유류의 물가상승률도 큰 폭으로 줄어들고 있다”며 “새해에도 민생과 약자에게 조금이라도 힘이 되는 정책을 만들고 실행하기 위해 더욱 뛰겠다”고 했다.

",조선일보
