index,title,article,news
1,비밀이라더니 서프라이즈…군 우주발사체 시험에 “전쟁난 줄”,"30일 저녁, 미확인 비행체가 하늘로 솟아올라 아래쪽으로 빛을 뿜는 장면이 서울·인천·경기·충남·경남 곳곳에서 육안으로 관측됐다. 알고보니 이 비행체는 국방과학연구소(ADD)가 시험을 위해 쏘아 올린 고체추진 우주발사체였다. 북한 무인기의 영공 침입이 이뤄진 지 나흘 만에, 사전 예고도 없이 이뤄진 고체추진 우주발사체 시험 비행에 놀란 시민들의 혼란과 불안이 가중됐다. 국방부는 이날 저녁 6시45분께 대변인실을 통해 “고체추진 우주발사체 시험비행에 성공했다”고 밝혔다. 지난 3월30일, 고체 연료 우주발사체 추진 비행 시험에 처음 성공했다고 밝힌 지 9개월 만이다. 지난 3월 시험 발사에선 대형 고체 추진기관(엔진), 페어링 분리, 단 분리, 상단부 자세제어 기술 검증이 실시된 데 이어, 이날 2차 시험에선 추가 기술 검증이 이뤄진 것으로 전해졌다. 국방부는 “향후 몇년간 개발과정을 거쳐 성과를 내도록 하겠다”고 말했다.
이날 2차 시험 성공은 과거 고체연료 기반 발사체 사용을 제한해온 ‘한·미 미사일 지침’이 지난해 5월 한-미정상회담을 계기로 종료되면서 국방부와 국방과학연구소 주도로 개발에 속도가 붙은 데 따른 결과물이다. 고체추진 우주발사체는 액체추진 방식보다 경제적이고 신속하게 인공위성들을 지구 저궤도로 쏘아올리는 데 필요한 핵심기술이다. 이를 활용하면 위성을 활용하는 우주산업의 상업성이 높아지고 군사 정찰용 저궤도 소형위성이나 초소형 위성 등을 다량으로 발사할 수 있다.
30일 오후 서울시 옥수동 상공에 긴 연기 꼬리를 그리며 날아가는 빛이 포착됐다. 이 현상은 전국 각 지역서 관측됐으며, 국방부는 이날 오후 6시 50분께 고체 추진 우주발사체 시험비행에 성공했다고 밝혔다. 
30일 오후 서울시 옥수동 상공에 긴 연기 꼬리를 그리며 날아가는 빛이 포착됐다. 이 현상은 전국 각 지역서 관측됐으며, 국방부는 이날 오후 6시 50분께 고체 추진 우주발사체 시험비행에 성공했다고 밝혔다. 이번 시험 발사는 사전 예고 없이 이뤄졌다. 국방부는 이와 관련 “비행시험 전 발사 경로와 관련 있는 영공 및 해상안전에 대한 조치를 하였으나, 군사보안상의 문제로 인해 모든 국민들께 사전 보고드리지 못했다”고 설명했다. 지난 3월 시험 발사 때 한 달 전인 2월22일 대전 국방과학연구소에서 당시 서욱 국방장관 주재로 제2회 국방과학기술위원회를 열어, 고체추진 우주발사체 첫 시험발사를 3월에 실시한다고 공개한 것과는 다른 것이다.
국방부는 이날 우주발사체 비행 시험을 사전에 출입기자들에게도 알리지 않았고, 발사 이후에도 발사 시간과 장소, 발사 사진·영상 등을 전혀 공지·제공하지 않았다. 국방부 대변인실은 “국방장관과 국가안보실 등 기밀을 다루는 부서는 이날 비행시험을 알고 있었지만 비밀 사업이라 대변인실 실무자들이 알지 못했다. 비밀사업이다 보니 사전에 기자들에게 공지못했다”고 설명했다.
지난 26일 북한 무인기 수도권 상공 침범 이후 불안하고 어수선한 상황에서, 고체추진 우주발사체 시험 발사가 예고 없이 이뤄지면서 시민들의 불안감은 고조됐다. 전국 하늘 곳곳에서 불꽃을 내며 솟구치는 정체 불명의 비행체에 놀란 시민들은 이를 촬영해 사회관계망서비스(SNS) 등으로 공유했고, 전국 경찰서에는 불안을 호소하는 시민들의 신고·문의 전화가 쏟아졌다. 소방청에 따르면 이날 오후 6시5분부터 약 한 시간 동안 서울과 경기를 비롯한 대부분의 시·도에서 총 412건의 신고가 들어왔다. 
이날 저녁 6시15분께 서울 서대문역 근처에서 섬광을 목격했던 함아무개(31)씨는 “사전 예고도 없이 이런 실험을 한 것이 어이없다”고 했다. 이아무개(32)씨는 “대통령이 전쟁 준비 발언을 한 직후에 아무런 공지도 없이 비행체를 발사하면 국민들이 얼마나 불안해하겠냐. 평소엔 ‘성공’이라고 하면 환영의 박수를 쳤을 테지만 오늘은 너무 무섭다”고 했다. 시험 발사 사실을 전하는 관련 기사에도 “전쟁 조짐 아닌가. 이러다 큰일 나겠다” “국민한테 아무런 통보도 없어 전쟁난 줄 알았다. 장난하느냐” 등의 댓글이 달렸다.",한겨레
2,느닷 없는 군…미확인 비행체 소동에 “고체추진 발사체 시험”,"30일 저녁, 미확인 비행체가 하늘로 솟아올라 아래 쪽으로 빛을 뿜는 장면이 서울·인천·경기·충남·경남 곳곳에서 육안으로 관측됐다. 놀란 시민들은 이를 촬영해 사회관계망서비스(SNS) 등으로 공유했고, 전국 시도경찰서에는 이날 저녁 섬광체를 봤다는 시민 신고가 접수됐다. 
혼란이 증폭되는 가운데 국방부는 이날 오후 6시45분께 대변인실을 통해 “고체추진 우주발사체 시험비행에 성공했다”고 밝혔다. 지난 3월 첫 고체 추진 발사체 시험 때는 한달여 전에 예고를 했지만 이번엔 전혀 공지가 없었다. 시험은 국방과학연구소(ADD)의 충남 태안 종합시험장에서 이뤄진 것으로 알려졌다. 윤 대통령은 북한 무인기의 영공 침입 사흘 만인 지난 29일 대전 유성의 국방과학연구소를 방문해 “북한 무인기의 영공 침범은 도저히 용납할 수 없는 사건”이라며 “압도적으로 우월한 전쟁 준비를 해야 한다”고 말한 바 있다. 
발사체 시험이었다는 정부의 설명에도 시민들의 불안은 더욱 증폭됐다. 이날 저녁 6시15분께 서울 서대문역 근처에서 섬광을 목격했던 함아무개(31)씨는 “사전 예고도 없이 이런 실험을 한 것이 어이없다”며 “통상 알고 있는 추진체 실험과 형태가 다르다. 국방부의 설명이 믿겨지지 않는다”고 했다. 이아무개(32)씨는 “대통령이 전쟁 준비 발언을 한 직후에 아무런 공지도 없이 비행체를 발사하면 국민들이 얼마나 불안하겠냐. 평소엔 ‘성공’이라고 하면 환영의 박수를 쳤을테지만 오늘은 너무 무섭다”고 했다. 
고체추진 우주발사체는 액체추진 방식보다 경제적이고 신속하게 인공위성들을 지구 저궤도로 쏘아올리는 데 필요한 핵심기술이다. 이를 활용하면 저렴한 비용으로 인공위성을 쏘아올릴 수 있어 우주산업의 상업성이 높아지고 군사용 저궤도 소형위성이나 초소형 위성 등을 다량으로 발사하는데 유리하다. ",한겨레
3,자료제출 부실·기간 연장 진통…이태원 국조 파행,"이태원 참사 국정조사가 종반으로 접어들었지만 여야 간 정쟁 속에 파행만 거듭하고 있다. 내년도 예산안 처리가 늦어져 가뜩이나 조사 기간도 줄었는데, 기관들의 부실한 자료 제출과 증인 채택을 둘러싼 논란 등으로 진상 규명이 제대로 이뤄지지 못하고 있다는 지적이 나온다. 야당은 다음달 7일로 종료되는 국정조사 기간을 연장해야 한다고 공식 요구했지만, 여당은 유보적인 태도를 보여 진통이 예상된다.
박홍근 더불어민주당 원내대표는 30일 국회에서 열린 최고위원회의에서 “국정조사 2차 업무보고가 파행된 상황에서 남은 일정으로는 3차 청문회, 재발방지대책 공청회, 국정조사 결과보고서 채택 등이 불가능한 상황”이라며 “국정조사 기간 연장이 불가피하다”고 밝혔다. 애초 새달 7일까지 45일간 실시하기로 했던 국정조사는 내년도 예산안 처리와 연동돼 일정이 지연되면서 전체 조사기간의 절반을 개점 휴업상태로 보낸 상태다.
이미 실시한 두차례의 현장검증과 기관보고도 핵심 증인들의 불출석과 정부 쪽의 자료제출 비협조로 ‘맹탕’에 그쳤다는 평가가 나오고 있다. 여야 합의로 세차례 청문회를 진행하기로 했지만, 유가족 및 생존자의 증인 채택을 둘러싼 이견으로 4, 6일 두차례만 일정을 잡았을 뿐이다. 박 원내대표는 “진실을 밝히기 위해서라도 (기한을 연장해) 3차 청문회를 반드시 열어야 한다”고 주장했다.
주호영 국민의힘 원내대표는 이런 요구에 대해 “1월7일까지 제대로 된 국정조사를 해보고 논의할 문제”라며 일단 선을 그었다. 양금희 수석대변인은 이와 관련 “전적으로 절대 (기한 연장은) 안된다는 기조는 아니다”라면서도 “그동안 국정조사가 정쟁의 장이 됐고 유가족이 방청하면서 더 상처받는 것 같다. 국민 통합에 별로 도움 되는 것 같지 않다”고 말했다.
국민의힘 쪽에선 특히 전날 국정조사 특위 2차 기관보고 정회 중, 용혜인 기본소득당 의원 쪽 보좌진이 전주혜·조수진 국민의힘 의원의 대화를 몰래 촬영했다고 문제 삼으며, 용 의원이 특조위원직에서 사퇴하지 않으면 국정조사에 참여할 수 없다고까지 주장하고 있다. 국민의힘이 반발한 배경에는 용 의원이 최근 조 의원이 여당 쪽 특조위원들을 비판하는 참사 유가족에게 “(야당과) 같은 편”이라고 한 비공개 발언을 공개한 것과 무관치 않다는 해석도 나온다.
야당은 용 의원 사퇴를 요구하며 국정조사를 거부하고 있는 국민의힘을 향해 “국정조사 방해 행위가 목불인견”이라고 강하게 비판했다.
주 원내대표는 이와 관련 “우리 국조위원들의 의견을 들어서 하되 기왕 국정조사를 시작했으니 제대로 마칠 수 있도록 하는 게 바람직하다”는 입장을 밝혔다. 하지만 그는 “유족들이 특위 위원들을 향해 항의하고 말하던데 회의 진행이 방해돼선 안 된다”며 “유족들 심정을 모르는 바는 아니지만 정제되지 않은 감정을 위원들에게 구사해 폭언으로 거칠게 항의하는 것은 국정조사 성공을 위해 바람직하지 않다”고 말했다.",한겨레
4,"혼자 말하는 대통령, 하고 싶은 말만 하는 대통령","2023년 1월1일 오전 10시, 티브이(TV)를 켜면 윤석열 대통령이 나온다. 집권 2년차 첫날을 맞아 한해 동안 집중할 정책 과제와 비전 등을 발표한다고 한다.
3대 개혁(노동·교육·연금) 과제를 어떻게 추진할 것인지, 녹록지 않은 경제 상황은 어떻게 회복할 것인지, 위기감이 고조되는 한반도 정세는 어떻게 관리할 것인지 언급하게 될 것으로 보인다. 윤 대통령은 10분가량 이런 새해 국정 구상을 말한 뒤 별도의 질의응답 없이 티브이 밖으로 사라진다. 그러곤 다음 일정을 소화할 것이다.
최근 ‘혼자 말하는 대통령’의 모습이 부쩍 눈에 들어온다. 그동안 ‘함께 말할 수 있었던’ 새해 대통령 기자회견 대신, 윤 대통령은 보수 성향 한 언론사와만 단독 인터뷰를 새해 첫날 신문에 싣기로 결정했다고 한다. 대통령실 관계자는 지난 29일 기자들과 만나 “더 깊이 있게, 더 밀도 있게 국민과 소통할 수 있는 다양한 방안, 방법, 채널에 대해서 연구하고 검토하고 있다. 언론사 인터뷰도 그중 하나”라고 부연했다. 그 인터뷰를 통해 얼마나 깊이 있게 국민과 소통할 것인지 두고 볼 일이다.
출근길 기자회견이 중단된 자리에 대통령의 일방적 말하기가 채워졌다. “있는 그대로를 보여주겠다”며 생중계 회의를 진행하고 발언 전문을 공개하는 일이 거듭되다 보니, 이젠 참모들뿐 아니라 국민 눈에도 ‘혼자 말하는 대통령’이 보인다. 지난주 시작된 부처별 업무보고는 대통령의 마무리 발언이 길어지면서 예상 시간을 훌쩍 넘기는 일이 반복되고 있다. 지난 15일 생중계된 국정과제점검회의는 예상보다 1시간가량 더 진행했다. 이태원 참사 직후 열린 국가안전시스템점검회의 비공개 부분에서 그가 (주로 경찰을 향해) 쏟아낸 발언문을 살펴보면 1만자가 넘는다. 윤 대통령은 국민이 듣고 싶은 말 대신, 자신이 하고 싶은 말을 한다.
윤 대통령이 다변가란 사실은 정치에 입문했을 때부터 널리 알려진 바 있다. 대체로 초보 정치인인 윤 대통령에겐 재능이자 매력이 될 것으로 봤다. 그러나 이런 일방통행식 다변은 아니다. 대선 과정에서 윤석열 캠프 초반 대변인을 지낸 이가 그를 묘사하며 “1시간이면 혼자서 59분을 얘기한다. 다른 사람 조언 듣지 않는다”라고 언급한 것만큼 아픈 지적이 있을까.
새해는 윤 대통령과 여권에 분수령의 시간이다. 2024년 22대 총선을 앞두고 정책 과제를 부각해 윤석열 정부만의 성과를 보여야 하는 과제가 부여돼 있다. 시간이 많지도 않다. 총선을 준비해야 하는 하반기가 오기 전 결과물을 보여야 한다는 채찍질 같은 조언이 전문가들 사이에서 여럿 나온다. 앞서 윤 대통령이 지난 21일 비상경제민생회의에서 “2023년은 개혁 추진의 원년이 되도록 해야 한다”고 의지를 드러낸 것도 이런 이유일 것이다.
개혁을 안정적으로 추진하기 위해 가장 중요한 것은 설득과 협치다. ‘여소야대’의 국회 상황, ‘극한 대결구도’의 정치 환경에서 굵직한 개혁 과제 여러개를 한꺼번에 추진하려는 현 상황에선 더욱 그렇다. 집권 1년차를 딱 하루 남긴 시점. 그는 야당 지도부와 단 한차례도 마주 앉지 않았다. ‘혼자 말하는 대통령’이 이 막중한 과제들을 완수할 수 있을 것인가.",한겨레
5,"윤 대통령, MB와 통화…“빨리 건강 회복하길 바란다”","윤석열 대통령이 30일 신년 특별사면으로 사면·복권돼 퇴원한 이명박 전 대통령에게 전화를 걸어 안부를 물은 것으로 전해졌다.
이날 이 전 대통령을 자택에서 만난 참석자들의 설명을 종합하면, 전·현직 두 대통령의 통화는 이 전 대통령이 오후 2시께 서울 강남구 논현동 자택에 도착한 뒤 이뤄졌다. 윤 대통령은 통화에서 “빨리 건강을 회복하시길 바란다”는 말을 건넸고, 이에 이 전 대통령은 “감사하다”는 말로 인사한 것으로 알려졌다.
당시 이 전 대통령 자택에는 국민의힘 소속 권성동, 윤한홍, 류성걸, 박정하 의원 등을 비롯해 옛 친이명박계 인사들이 퇴원한 이 전 대통령을 만나기 위해 모여 있었다고 한다. 한 참석자는 <한겨레>와 한 통화에서 “(이 전 대통령에 대한 형 집행이) 다 끝났으니 다들 좋아했다”며 “일부 참석자는 울컥하는 모습도 보였다”고 전했다.
권성동 의원은 이 전 대통령을 만난 뒤 “(이 전 대통령이) 본인의 개인적 소회를 말씀하셨고 ‘나라 경제가 어려우니까 우리 모두 합심해서 나라가 잘되도록 기도하자’ ‘굳건한 자유 민주주의를 위해 함께하자’라고 말씀하셨다”고 기자들에게 전했다. 그는 ‘이 전 대통령의 사면·복권을 계기로 친이계 의원들이 다시 결집하는 게 아닌가’라는 취재진의 질문에 “친이·친박(친박근혜)이라는 개념은 이미 사라진 개념이라고 본다”며 “과거에 정치적 인연이 있던 분들이 서로 인간적인 관계를 유지하고 발전시키는 개념으로 보면 된다. 어떤 정치적 의미를 부여할 필요가 없다”고 답했다.

한편, 이 전 대통령은 이날 서울대병원에서 퇴원한 뒤 논현동 집 앞에서 발표한 대국민 메시지에서 “국민 여러분께 심려를 끼치게 돼서 대단히 송구스럽게 생각하다”고 밝혔다. 이 전 대통령은 “지난 5년 동안 많은 분들이, 특히 젊은층이 저를 성원해주시고 기도해주신 데 대해 지금 이 자리를 빌어 감사의 말씀드리고 싶다. 코로나로 지난 3년간 국민 여러분, 기업하시는 분들 어려움 겪고 계셨다. 크게 위로를 드리고 싶다”고 했다.
이 전 대통령은 뇌물·횡령 등 혐의로 실형을 선고받아 2018년 3월 수감돼 안양교도소에서 복역하다가 지난 6월부터 당뇨 등 건강 문제로 형집행정지를 받고 병원 치료를 받아왔다.",한겨레
6,안전운임제 결국 일몰…1월 임시국회 시점 두고 여야 신경전,"안전운임제(화물자동차운수사업법)와 30명 미만 사업장 추가연장근로제(근로기준법), 국민건강보험 정부 지원제도(국민건강보험법)가 31일 일몰제 시한 종료로 폐지된다. 여야가 이들 일몰제 연장 여부 등을 논의해 올해 안에 처리하기로 지난 22일 합의해놓고도, 끝내 이견을 못 좁힌 탓이다. 여야는 추가 논의를 위한 ‘1월 임시국회’ 소집에는 동의하면서도, 구체적인 시점을 놓고 신경전을 벌이고 있다.
더불어민주당은 ‘12월 임시국회’가 1월8일 끝난 직후 곧바로 ‘1월 임시국회’를 열어서 화물차 운전자들에게 일정 수준의 운임을 보장하는 안전운임제 등을 논의하자고 주장한다. 국회 환경노동위원회 민주당 간사인 김영진 의원은 30일 <한겨레>에 “추가연장근로제는 (위반 시 처벌을 유예하는) 계도기간을 가지면 되지만, 화물차 안전운임제는 당장 1월부터 과적이나 과속 등의 문제가 불가피해 화물차 운전자들의 사고 위험성이 커질 수 있다”며 “소급 적용도 현실적으로 쉽지 않아 1월 임시국회를 곧바로 소집해 일몰법 논의를 마무리해야 한다”고 말했다. 향후 여야가 안전운임제 소급 적용에 합의하더라도, 화물차 운전자들이 화주들로부터 개별적으로 소급 운임을 돌려받는 데에는 어려움이 있을 것이라는 얘기다.
그러나 국민의힘은 공백 없이 임시국회를 여는 것은 검찰 수사 대상인 이재명 민주당 대표를 보호하려는 “방탄 국회”라며 반대했다. 주호영 원내대표는 “민주당이 떳떳하고 자신 있다면 (12월 임시국회를 예정 날짜에) 종결시키고 그 이후에 관계되는 의원들의 사법적 판단을 받고 난 다음에 설(1월22일) 쇠고 임시국회를 할 것을 정식 제안한다”고 말했다. 다음달 10일 전후로 예상되는 이재명 대표에 대한 검찰 조사를 염두에 둔 발언이다.
추가연장근로제 폐지와 관련해서는 30일 이정식 고용노동부 장관이 전국 기관장 회의를 열고 ‘계도기간 1년’ 방침을 내놨다. 새해부터 30명 미만 사업장에서 ‘주 최대 60시간 노동 상한’ 적용 규정이 끝나고 ‘주 최대 52시간’으로 바뀌는데, 1년 동안은 이를 어기더라도 즉각 처벌하지 않겠다는 것이다. 계도기간 중엔 30명 미만 사업장을 ‘장시간 근로 감독’ 대상에서 제외하고, 해당 사업장 노동자가 1주에 52시간 이상 일하는 법 위반 사실을 노동청에 진정하더라도 사업주한테 최대 아홉달의 시정 기간을 준 뒤 처벌 절차에 나서겠단 설명이다. 문재인 정부 시절에도 ‘주 최대 52시간 노동 상한제’를 단계적으로 적용하는 과정에서 두차례 계도기간을 운용했다. 이를 두고, 법 위반 때 2년 이하 징역, 2000만원 이하 벌금 형을 규정한 법률의 강행규정을 지키지 않는 것은 행정부의 재량 범위를 넘어선 것이라는 지적도 나온다.

건강보험료 예상 수입액의 20%를 정부 재정으로 지원하는 국민건강보험법 일몰에 대해서도, 정부와 국민의힘은 예산이 이미 편성돼 아직 여유가 있다는 입장이다.",한겨레
7,"박진 장관, 일본 연립여당 대표와 현안 논의…강제동원 빠져","박진 외교부 장관이 30일 방한 중인 야마구치 나쓰오 일본 공명당 대표를 만나 한·일관계에 대해 의견을 교환했다. 공명당은 자민당과 공조해 정권을 이끌고 있는 일본의 연립여당이다.
외교부는 이날 박 장관이 서울 외교부 청사에서 야마구치 대표를 만나 한·일 관계 발전을 위해 적극적인 역할을 해 줄 것을 당부했다고 밝혔다. 박 장관은 이 자리에서 지난 9월과 11월 두차례 한·일 정상회담 개최를 통해 양국 관계가 개선되고 현안이 해결되는 전기가 마련됐다고 평가했다.
박 장관은 또 공명당이 일본 연립여당의 한 축으로서 그간 한·일 관계 발전을 위해 노력해온 점을 평가하고, 앞으로도 한·일 관계 개선·발전을 위해 적극적인 역할을 해 줄 것을 당부했다. 또한 야마구치 대표가 재일한국인의 권익 신장 등에도 관심을 갖고 지원해준 데 감사 인사를 전했다.
박 장관은 한·일 양국이 자유민주주의와 시장경제 등 보편적 가치를 공유하는 가장 가까운 이웃국가로서 양국 관계뿐만 아니라 한반도 및 지역‧글로벌 차원의 다양한 과제에 대해서도 함께 대응해 나가자고 했고, 야마구치 대표는 이에 공감을 표했다고 외교부는 전했다. 또 박 장관은 지난 28일 발표한 우리 정부의 ‘인도-태평양 전략’에 대해 설명했으며, 야마구치 대표는 한국 정부의 포괄적이고 획기적인 인태전략 발표를 환영한다고 했다.
이날 외교부의 면담 내용 발표에는 관심을 모았던 강제동원 문제 거론 여부가 구체적으로 담기지 않았다. 윤석열 대통령은 전날 야마구치 대표를 만난 자리에서 “한·일 관계 현안이 조속히 해결되도록 함께 노력하자”고 밝힌 바 있다.",한겨레
8,"한-미, 한-중 북핵대표 통화…“추가 도발 막아야 한중미 이익”","정부의 북핵 수석대표인 김건 외교부 한반도평화교섭본부장이 미국과 중국 북핵대표와 각각 통화를 하고 북한의 탄도미사일 발사와 무인기 남쪽 침범 등 최근 한반도 관련 현안에 대해 논의했다.
외교부는 김 본부장이 30일 오전 성 김 미국 국무부 대북특별대표, 류샤오밍 중국 정부 한반도사무특별대표와 각각 유선협의를 했다고 밝혔다.
먼저 한·미 북핵 수석대표들은 통화에서 “북한이 탄도미사일 도발 뿐 아니라 군용 무인기 도발 등 복합적인 도발을 이어가고 있는 것을 엄중하게 인식했다”고 외교부는 밝혔다. 양쪽은 북핵 문제가 중국이 한‧미와 함께 오랜 기간 협력해온 사안이라는 점을 강조했다. 북핵 문제 해결에 중국의 역할이 중요하다는 점을 다시 한 번 강조한 것이다. 양국은 “북한이 도발을 중단하고 비핵화 대화에 응하도록 최선의 노력을 다하는 것이 한‧중‧미의 공동 이익에 부합하는 만큼, 중국이 이를 위해 보다 적극적 역할을 수행하도록 중국과의 소통을 강화해 나가기로 했다”고 외교부는 전했다.
김 본부장은 같은 날 류샤오밍 중국 정부 한반도사무특별대표와 통화에서 북한이 올해 발사한 탄도미사일과 최근 군용 무인기 남쪽 침범 등의 상황에 대해 설명했다. 김 본부장은 “우리 정부는 강력히 대응해나갈 것임을 강조하고, 북한의 추가 도발 자제를 위한 중국의 보다 적극적인 역할을 당부했다”고 외교부는 밝혔다.",한겨레
9,"통일부, 1970년대 남북적십자회담 문서 공개","통일부는 1970년대 남북 적십자회담 관련 문서를 30일 공개했다.
통일부가 공개한 문서는 그동안 비공개이던 <남북대화 사료집> 4~6권, 3028쪽 분량이다. 3028쪽 가운데 417쪽은 이번에도 공란 처리돼 실제 공개율은 86%다. 공개된 문서에는 △남북적십자 본회담(7차례, 1972년 8월~1973년 7월) △남북적십자 대표회의(7차례, 1973년 11월~1974년 5월) △남북적십자 실무회의(25차례, 1974년 7월~1977년 12월)의 진행 과정과 회의록이 포함됐다.
다만 이 기간에 있은 ‘7·4 남북 공동성명’(1972년 7월4일) 합의·발표와 관련한 남과 북 당국 사이 ‘특사’ 교환 등 남북 정상의 ‘간접 협상’을 살필 자료는 이번에도 공개되지 않았다. 예컨대 1972년 5월 당시 이후락 중앙정보부장이 평양을 방문(1972년 5월2~4일)해 김일성 내각수상과 두차례 만난 일, 박성철 북한 부수상이 비공개로 남쪽을 방문(1972년 5월29일)해 박정희 대통령과 만난 일과 관련한 문서는 공개되지 않았다. 통일부 당국자는 “추가 검토가 필요한 부분이 있어 이번에는 공개 대상에서 뺐다”며 “내년에 공개할 계획”이라고 말했다.
통일부는 “이번 문서 공개는 5월4일 시범 공개에 이어 두 번째로 이뤄진 것”이라며 “앞으로도 국민의 알권리와 대북정책의 투명성 제고를 위해 지속적으로 남북회담 문서 공개를 추진할 계획”이라고 밝혔다.
앞서 통일부는 지난 5월4일 1970년 8월~1972년 8월 사이 남북 당국 회담 관련 문서(<남북대화 사료집> 2·3권) 1652쪽(418쪽은 공란 처리해 사실상 비공개)을 사상 처음으로 공개했다. 당시 공개된 문서에는 한국전쟁 이후 첫 남북 당국 접촉인 1971년 8월20일 남북적십자 파견원 접촉 상황 등이 담겨 있다.

공개된 남북 회담 관련 문서는 통일부의 남북회담본부·북한자료센터, 국립통일교육원 등 3곳에 마련된 ‘남북회담 문서 열람실’에서 열람할 수 있다. 공개 문서 목록과 공개 방법, 열람 절차 등은 통일부 남북회담본부 누리집( https://dialogue.unikorea.go.kr)에서 확인할 수 있다.",한겨레
10,대통령실 연하장 표절 논란…“적법한 라이선스 계약” 반박,"윤석열 대통령 부부가 새해를 맞아 각계 인사들에게 보낸 연하장 이미지가 해외 작가 작품을 베낀 것이란 의혹이 제기되자 대통령실이 “전혀 사실이 아니다”라고 일축했다. 야당에서는 “일국의 대통령 연하장이 베끼기, 표절 논란에 휩싸인 것”이라고 비판했다.
대통령실은 지난 29일 밤 언론 공지를 내어 “일부 언론의 연하장 디자인 도용 의혹 제기는 전혀 사실이 아니다”라며 “새해 연하장은 역대 대통령의 연하장을 다수 제작한 경험이 있는 디자인 전문 업체에 의뢰해 연하장을 제작했다”고 밝혔다.
연하장 안쪽면 왼쪽에 그려진 해당 이미지는 역사 유적과 한복, 한식, 드라마, 태권도같은 우리나라를 상징하는 펜그림이 빼곡히 배열돼 있는 구성으로 누리꾼들 사이에서 이미지 거래 플랫폼인 ‘셔터스톡’에 등록된 디자인과 유사하다는 의혹을 받아왔다. 셔터스톡 누리집에는 해당 이미지와 상당히 유사한 이스라엘 출신 일러스트 작가의 작품이 ‘비상업용’으로 게시돼 있다. 이미지와 구성, 서체도 모두 비슷하다. 대통령실은 논란이 커지자 “연하장에 활용된 ‘디자인 이미지’는 외국인 시각에서 우리나라 문화콘텐츠를 형상화한 것으로, 해당 업체에서 적법한 라이선스 계약을 통해 구현한 것으로 안다”고 밝혔다. 대통령실로부터 연하장 제작을 의뢰받은 업체가 해당 작가 쪽과 라이선스 계약을 맺어서 제작했다는 얘기다.
박찬대 더불어민주당 최고위원이 30일 오전 국회에서 열린 최고위원회의에서 윤석열 대통령 연하장(오른쪽)과 외국 작가의 디자인 이미지를 들어보이고 있다. 왼쪽은 이미지 거래 플랫폼인 ‘셔터스톡’에 등록된 디자인이다. 정청래 최고위원은 이를 근거로 대통령실을 상대로 표절 의혹을 제기했다.
박찬대 더불어민주당 최고위원이 30일 오전 국회에서 열린 최고위원회의에서 윤석열 대통령 연하장(오른쪽)과 외국 작가의 디자인 이미지를 들어보이고 있다. 왼쪽은 이미지 거래 플랫폼인 ‘셔터스톡’에 등록된 디자인이다. 정청래 최고위원은 이를 근거로 대통령실을 상대로 표절 의혹을 제기했다.

앞서 대통령실은 ‘윤석열 대통령, 국내외 주요 인사 및 국가유공자, 사회배려계층 등에 취임 후 첫 신년 연하장 발송’이란 제목의 보도자료를 내어 “2023년 윤 대통령의 연하장은 ‘케이 콘텐츠의 매력을 전 세계로 확산한다’는 국정과제를 반영해 다양한 한국의 문화, 전통, 유·무형문화재 등을 디자인화 했다”고 소개한 바 있다.
야당은 석연치 않다는 반응이다. 정청래 더불어민주당 최고위원은 30일 국회에서 열린 최고위원회의에서 해당 의혹과 관련 “ 저도 받고 싶지 않은 선물, 윤 대통령의 연하장을 받았다 . 놀랍게도 이 연하장은 해외 홈페이지 이미지를 베꼈다는 논란에 휩싸였다”며 “육안으로 얼핏 봐도 베꼈다는 의혹을 사기에 너무나도 충분하다 . 일국의 대통령 연하장이 베끼기, 표절 논란에 휩싸인 것”이라고 지적했다.",한겨레
