index,title,link,date
0," 정진석 “나경원, 자꾸 대통령 끌어들이는 것 바람직하지 않아”",https://www.khan.co.kr/politics/politics-general/article/202301172153001,2023.01.17 21:53
1," 이태원 국조, 이상민 장관 ‘위증’ 고발한다",https://www.khan.co.kr/politics/assembly/article/202301172124025,2023.01.17 21:24
2, 이정미 정의당 대표 “대통령 결선투표제 원포인트 개헌부터 하자”,https://www.khan.co.kr/politics/assembly/article/202301172124015,2023.01.17 21:24
3," “뻔뻔한 이상민…특검 불가피, 별도 기구로 재발 방지 논의”",https://www.khan.co.kr/politics/assembly/article/202301172124005,2023.01.17 21:24
4, 이재명 두 번째 검찰 출석 놓고…친명계·비명계 ‘파열음’,https://www.khan.co.kr/politics/assembly/article/202301172119015,2023.01.17 21:19
5, 나경원 “거의 결심”…여당 당권 대결 ‘후끈’,https://www.khan.co.kr/politics/assembly/article/202301172119005,2023.01.17 21:19
6, [윤 대통령 순방] ‘300억달러 유치’ 경제 외교 성과…난데없는 “이란 적” 발언에 퇴색,https://www.khan.co.kr/politics/defense-diplomacy/article/202301172115005,2023.01.17 21:15
7," 대통령 ‘가벼운 입’, 또…외교 리스크",https://www.khan.co.kr/politics/defense-diplomacy/article/202301172111015,2023.01.17 21:11
8," 대통령실 “나경원 해임, 윤 대통령이 직접 진상 파악해 결정”",https://www.khan.co.kr/politics/assembly/article/202301172110025,2023.01.17 21:10
9," 이재명, 검찰 진술서 전격 공개···“단 한 푼의 사적 이익도 안 취해”",https://www.khan.co.kr/politics/assembly/article/202301172056001,2023.01.17 20:56
10," 윤 대통령 “과학기술 선택권과 통제권, 생존권만큼 중요”",https://www.khan.co.kr/politics/president/article/202301171931001,2023.01.17 19:31
11," 건협, 설 명절맞이 ‘따뜻한 겨울나기’ 보훈가족 후원",https://www.khan.co.kr/politics/politics-general/article/202301171852001,2023.01.17 18:52
12, 외통위 ‘UAE 적 이란’ 윤 대통령 발언 공방···“외교 참사” “사실 얘기”,https://www.khan.co.kr/politics/north-korea/article/202301171810001,2023.01.17 18:10
13," 국민의힘 초선의원 48명 성명 “나경원, 윤 대통령에게 사과하라”",https://www.khan.co.kr/politics/president/article/202301171803001,2023.01.17 18:03
14, 나경원 “결심 거의 섰다” 출마 시사에···김기현·안철수 빨라진 발걸음,https://www.khan.co.kr/politics/assembly/article/202301171801001,2023.01.17 18:01
15, 300억달러 투자 유치 성과···‘UAE 적 이란’ 발언으로 또 외교 리스크 자초,https://www.khan.co.kr/politics/president/article/202301171759001,2023.01.17 17:59
16," “나경원, 대통령이 그간 처신 어찌 생각할지 본인이 잘 알 것”···尹, 여당 전대 노골적 개입",https://www.khan.co.kr/politics/president/article/202301171743001,2023.01.17 17:43
17, 이태원 국정조사 종료···‘진상규명·책임자 처벌 노력은 끝나지 않았다’,https://www.khan.co.kr/politics/assembly/article/202301171732001,2023.01.17 17:32
18," 민주당, 연이은 이재명 소환 통보에···‘김건희 특검’으로 맞불",https://www.khan.co.kr/politics/assembly/article/202301171725011,2023.01.17 17:25
19, 외교적 파장 일으킨 윤 대통령의 ‘가벼운 입’···단순하고 편향된 국제정세 인식이 문제라는 지적도,https://www.khan.co.kr/politics/defense-diplomacy/article/202301171725001,2023.01.17 17:25
20," 이태원 국조특위, 야 3당이 보고서 채택···이상민 장관 등 8명 위증 고발",https://www.khan.co.kr/politics/assembly/article/202301171724001,2023.01.17 17:24
21," [영상]KF-21 ‘시제 1호기’, 4만피트 상공 첫 초음속 비행 성공",https://www.khan.co.kr/politics/defense-diplomacy/article/202301171716001,2023.01.17 17:16
22," 민주당, 검찰에 “공작수사·사법살인·관심법”···이재명 출석엔 이견도",https://www.khan.co.kr/politics/assembly/article/202301171713001,2023.01.17 17:13
23," [인터뷰] 우상호 국조특위위원장 “국정조사, 유가족 눈물로 시작하고 끝나···2차 가해 엄벌하는 법 필요”",https://www.khan.co.kr/politics/assembly/article/202301171708001,2023.01.17 17:08
24, 계엄군 묘지 참배한 오월단체 간부들 “5·18 때 산화”,https://www.khan.co.kr/politics/politics-general/article/202301171601001,2023.01.17 16:01
25, 김대기 실장 “대통령이 나경원 처신 어떻게 생각하는지 본인이 잘 알 것”,https://www.khan.co.kr/politics/politics-general/article/202301171539001,2023.01.17 15:39
26," 외교부, ‘윤 대통령, UAE 적은 이란’ 발언 “장병 격려 차원···불필요한 확대해석 없길”",https://www.khan.co.kr/politics/politics-general/article/202301171528001,2023.01.17 15:28
27, 이정미 “대통령 결선투표 원포인트 개헌···재창당 8~9월쯤 마무리”,https://www.khan.co.kr/politics/politics-general/article/202301171524011,2023.01.17 15:24
28," 윤 대통령 “한·일관계, 깊은 질곡에 빠져있었으나 최근 개선 흐름”",https://www.khan.co.kr/politics/defense-diplomacy/article/202301171517001,2023.01.17 15:17
29," “여론조사 블랙아웃 없애자”···선관위, 국회에 선거법 개정의견 제출",https://www.khan.co.kr/politics/assembly/article/202301171508001,2023.01.17 15:08
30," 만19~34세 청년, 올해부터 정부 부처에서도 인턴 가능",https://www.khan.co.kr/politics/politics-general/article/202301171451001,2023.01.17 14:51
31, 독립운동가 최재형 선생 묘 복원 가능···국립묘지 개정안 의결,https://www.khan.co.kr/politics/defense-diplomacy/article/202301171354001,2023.01.17 13:54
32," 국민의힘, 김성태 귀국에 “이재명 불법 리스크, 이제 시작” 총공세",https://www.khan.co.kr/politics/assembly/article/202301171339001,2023.01.17 13:39
33," 당정 “설 연휴, 전통시장·지하철 인파관리”",https://www.khan.co.kr/politics/politics-general/article/202301171139001,2023.01.17 11:39
34," 코로나19로 축소됐던 예비군 훈련, 올해부터 정상화",https://www.khan.co.kr/politics/defense-diplomacy/article/202301171126001,2023.01.17 11:26
35," 나경원 “내 해임 대통령 본의 아냐, 전달과정 왜곡···그걸 바로잡는 당대표 필요”",https://www.khan.co.kr/politics/assembly/article/202301171107001,2023.01.17 11:07
36, 정의당 이정미 “대통령 결선투표제 원포인트 개헌부터”,https://www.khan.co.kr/politics/assembly/article/202301171001001,2023.01.17 10:01
37, 박홍근 “이재명 악마화에 여념 없어···김건희 특검 통해서라도 진상규명”,https://www.khan.co.kr/politics/assembly/article/202301170953001,2023.01.17 09:53
38, 이태원 참사 국정조사 마무리···우상호 “여야 합의 안되면 단독 채택”,https://www.khan.co.kr/politics/assembly/article/202301170824001,2023.01.17 08:24
39," 국회 외통위, 외교부·통일부 현안질의…강제동원 해법 쟁점",https://www.khan.co.kr/politics/assembly/article/202301170740001,2023.01.17 07:40
40," 윤 대통령, UAE 동행 기업인들 만나 “저는 대한민국 영업사원”",https://www.khan.co.kr/politics/president/article/202301170621001,2023.01.17 06:21
41," 대통령실, 2월 한·일 정상회담 가능성에 “예단 이르다”",https://www.khan.co.kr/politics/president/article/202301170456001,2023.01.17 04:56
42, 한·UAE 공동성명 “UAE나 제3국 원전사업 추진” “300억 달러 투자” 명시,https://www.khan.co.kr/politics/president/article/202301170030001,2023.01.17 00:30
