,title,link,date
0, 북 “남한 말 쓰지 마라”…법 만들어 확산 단속,https://www.khan.co.kr/politics/north-korea/article/202301192122005,4시간 전
1, 남친·쪽팔리다···북한 ‘남한말 통제’ 법까지 제정,https://www.khan.co.kr/politics/north-korea/article/202301191708001,8시간 전
2," 통일부 “김정은 최고인민회의 불참, 이례적 아냐”···부의장에 ‘대남통’ 맹경일",https://www.khan.co.kr/politics/north-korea/article/202301191129001,14시간 전
3, 북한 17~18일 최고인민회의 개최···김정은 불참,https://www.khan.co.kr/politics/north-korea/article/202301190723001,18시간 전
4," 김정은, 시진핑·푸틴에 연하장…‘반제·반미’ 연대 과시",https://www.khan.co.kr/politics/north-korea/article/202301181126001,2023.01.18 11:26
5," 북한 매체, 최고인민회의 개최 보도 안 해···김정은 참석할까",https://www.khan.co.kr/politics/north-korea/article/202301180753001,2023.01.18 07:53
6, 외통위 ‘UAE 적 이란’ 윤 대통령 발언 공방···“외교 참사” “사실 얘기”,https://www.khan.co.kr/politics/north-korea/article/202301171810001,2023.01.17 18:10
7," 국회 외통위, 외교부·통일부 현안질의…강제동원 해법 쟁점",https://www.khan.co.kr/politics/north-korea/article/202301170740001,2023.01.17 07:40
8," 김정은, 최고인민회의 나오나···‘경제’와 ‘통제’ 주요 안건",https://www.khan.co.kr/politics/north-korea/article/202301161150011,2023.01.16 11:50
9," 대북확성기 재개, 9·19 군사합의 정지만으로 가능할까",https://www.khan.co.kr/politics/north-korea/article/202301140830001,2023.01.14 08:30
10," ‘강제동원 제3자 변제’ 공식화 다음날, 한·일 외교장관 통화",https://www.khan.co.kr/politics/north-korea/article/202301131550001,2023.01.13 15:50
11," 북한, 일본 총리 G7 순방에 “군비증강 지지 청탁여행”···‘아시아 나토’ 경계",https://www.khan.co.kr/politics/north-korea/article/202301131132011,2023.01.13 11:32
12, 윤 대통령 ‘핵 보유’ 발언 파장 확산…“대통령이 안보 리스크”,https://www.khan.co.kr/politics/north-korea/article/202301121803001,2023.01.12 18:03
13," 11년만에 통일부 ‘따로’ 업무보고…대북 압박 우선, 대화 후순위 현실",https://www.khan.co.kr/politics/north-korea/article/202301121711011,2023.01.12 17:11
14, 윤 대통령 “일본 방위비 증액 누가 뭐라 하겠나”···“상황 심각해지면 핵 보유할 수도”,https://www.khan.co.kr/politics/north-korea/article/202301111758001,2023.01.11 17:58
15, 지난해 국내 입국 탈북민 67명…코로나로 ‘급감’ 전년과 비슷,https://www.khan.co.kr/politics/north-korea/article/202301101512011,2023.01.10 15:12
16," 북한군 120만명으로 병력 규모 세계 4위, 한국은 8위…“실제 전투력과는 별개”",https://www.khan.co.kr/politics/north-korea/article/202301101106001,2023.01.10 11:06
17, 북한 보건성 “의약품·의료기구 보장 총력”…사회·문화 관료들도 새해 다짐,https://www.khan.co.kr/politics/north-korea/article/202301091532001,2023.01.09 15:32
18," ‘대결’ 작심한 윤석열 정부, 대북정책 ‘과거 회귀’ 가속",https://www.khan.co.kr/politics/north-korea/article/202301082112015,2023.01.08 21:12
19," 군, 북 무인기 포착 후 1시간30분 지나 대비태세 발령…수방사엔 알리지도 않아",https://www.khan.co.kr/politics/north-korea/article/202301082112005,2023.01.08 21:12
20," 9·19 파기에 색깔론까지···정부 대북정책, 새해 급격히 ‘과거 회귀’",https://www.khan.co.kr/politics/north-korea/article/202301081728001,2023.01.08 17:28
21," 군, 북 무인기 인지 90분 뒤 대비태세···이미 서울 뚫린 시각",https://www.khan.co.kr/politics/north-korea/article/202301081523001,2023.01.08 15:23
22, “1956년 천리마 정신” 앞세운 북한…충성·애국심 기대는 올해 경제,https://www.khan.co.kr/politics/north-korea/article/202301081159001,2023.01.08 11:59
23, 미 싱크탱크 “김여정은 북한 2인자…김정은 유고 시 후계자 가능성”,https://www.khan.co.kr/politics/north-korea/article/202301060836001,2023.01.06 08:36
24," 대통령실 “야당, 무인기 용산 침투 자료 어디서 받았냐” 김영배 “바이든-날리면 시즌2”",https://www.khan.co.kr/politics/north-korea/article/202301052034001,2023.01.05 20:34
25, 대통령실 “윤 대통령이 북한 무인기 항적 공개 지시한 것”···비행금지구역 침범 사실 은폐 비판 방어나서,https://www.khan.co.kr/politics/north-korea/article/202301052028001,2023.01.05 20:28
26, 국정원 “북한 무인기 대통령실 촬영 가능성 배제 못해”,https://www.khan.co.kr/politics/north-korea/article/202301051950001,2023.01.05 19:50
27," 대통령실, 북한 무인기 ‘비행금지구역 침범’에 침묵…전날 보고 후 브리핑에서도 제외",https://www.khan.co.kr/politics/north-korea/article/202301051740001,2023.01.05 17:40
28, 9·19 효력정지시 대북 확성기·전단 검토···‘강 대 강’ 조장하는 통일부,https://www.khan.co.kr/politics/north-korea/article/202301051727001,2023.01.05 17:27
29," [속보] 국정원 “북한 무인기, 용산 대통령실 촬영 가능성 있다”",https://www.khan.co.kr/politics/north-korea/article/202301051723001,2023.01.05 17:23
30, [속보] 국정원 “북한 리용호 전 외무상 숙청 확인···처형 여부는 확인 안돼”,https://www.khan.co.kr/politics/north-korea/article/202301051716011,2023.01.05 17:16
31, 일주일 만에 또···오늘 북 무인기 대응 합동방공훈련,https://www.khan.co.kr/politics/north-korea/article/202301051510001,2023.01.05 15:10
32," 통일부, ‘9·19 군사합의’ 정지시 ‘대북 확성기·전단’ 가능 여부 검토",https://www.khan.co.kr/politics/north-korea/article/202301051130001,2023.01.05 11:30
33," 정부, 강제징용 공개토론회 12일 개최…정부 해법 발표 위한 마지막 절차",https://www.khan.co.kr/politics/north-korea/article/202301042046001,2023.01.04 20:46
34, 대통령이 ‘남북 군사합의’ 무력화 시사···“위기 고조 아닌 관리가 정부 역할” 비판,https://www.khan.co.kr/politics/north-korea/article/202301041756001,2023.01.04 17:56
35, 윤 대통령 “9·19 군사합의 효력 정지 검토”…강 대 강 대치로 한반도 긴장 고조 불가피,https://www.khan.co.kr/politics/north-korea/article/202301041719001,2023.01.04 17:19
36," “윤 대통령, 북한 다시 영토 침범시 9·19 합의 효력정지 검토”",https://www.khan.co.kr/politics/north-korea/article/202301041133001,2023.01.04 11:33
37, 유엔사 “핑크폰으로 대북통지문 98건 보내···365일 24시간 대기” 활동 공개,https://www.khan.co.kr/politics/north-korea/article/202301041124001,2023.01.04 11:24
38, ‘북한 군부 서열 1위’ 박정천 해임 미스터리···문책? 군 전술 전환?,https://www.khan.co.kr/politics/north-korea/article/202301031500001,2023.01.03 15:00
39," EU, 북 드론 영공 침범·탄도미사일 도발에 “군사적 긴장고조 중단해야”",https://www.khan.co.kr/politics/north-korea/article/202301030913001,2023.01.03 09:13
40," 김정은, 딸 김주애와 미사일 기지 시찰…새해 첫날 내부 결속 다지기",https://www.khan.co.kr/politics/north-korea/article/202301022109005,2023.01.02 21:09
41, 북한 경제관료들 ‘새해 목표’ 다짐···김정은 ‘자력갱생’ 경제 ‘깜깜’,https://www.khan.co.kr/politics/north-korea/article/202301021915001,2023.01.02 19:15
42," 권영세 “북한 정권, 연초부터 잘못된 길 고집···한반도 평화 동참하라”",https://www.khan.co.kr/politics/north-korea/article/202301021748001,2023.01.02 17:48
43," 김주애, 김정은 손잡고 새해 첫날 등장···이번엔 미사일 보관 기지",https://www.khan.co.kr/politics/north-korea/article/202301021619001,2023.01.02 16:19
44," 김정은, ‘방사포 발사’ 새해 첫날 김일성·김정일 참배···‘후대’ 조선소년단 격려",https://www.khan.co.kr/politics/north-korea/article/202301021156001,2023.01.02 11:56
45," 초대형 방사포 실전 배치·새 ICBM 개발 언급…북, 군사위협 노골화",https://www.khan.co.kr/politics/north-korea/article/202301012109025,2023.01.01 21:09
46," 북, ‘군 서열 1위’ 박정천 해임…군부 핵심 인사들 물갈이",https://www.khan.co.kr/politics/north-korea/article/202301012109015,2023.01.01 21:09
47," 북, 윤 정부에 “명백한 적” 적개심…‘핵무력 고도화’ 노림수",https://www.khan.co.kr/politics/north-korea/article/202301012109005,2023.01.01 21:09
48, 김정은 “핵탄 기하급수로 늘릴 것”…새해 벽두 초대형 방사포 날린 북,https://www.khan.co.kr/politics/north-korea/article/202301012104015,2023.01.01 21:04
49, 군부 핵심 싹 교체한 김정은···‘군 서열 1위’ 박정천 해임,https://www.khan.co.kr/politics/north-korea/article/202301011743001,2023.01.01 17:43
50, “명백한 적” 남한에 ‘전술핵’ 꺼낸 김정은···‘강경’ 한·미·일과 역대급 충돌하나,https://www.khan.co.kr/politics/north-korea/article/202301011739001,2023.01.01 17:39
51," 김정은, 새해 첫날부터 ‘핵 시위’···남한 겨냥 ‘전술핵 대량생산’ 박차",https://www.khan.co.kr/politics/north-korea/article/202301011502001,2023.01.01 15:02
52," 김정은 “초대형 방사포, 전술핵 탑재 가능···남조선 전역 사정권”",https://www.khan.co.kr/politics/north-korea/article/202301010826001,2023.01.01 08:26
53," 합참, 북한 1일 단거리탄도미사일 1발 발사···김정은 “전술핵탑재까지 가능한 공격형 무기”",https://www.khan.co.kr/politics/north-korea/article/202301010754001,2023.01.01 07:54
54, 김정은 “핵탄 보유량 기하급수적 늘릴 것···‘강 대 강’ 정면승부 원칙”,https://www.khan.co.kr/politics/north-korea/article/202301010747001,2023.01.01 07:47
55, 한미일 북핵대표 “북 미사일 규탄…중국과 소통 강화”,https://www.khan.co.kr/politics/north-korea/article/202212311413001,2022.12.31 14:13
56," 북, 동해로 단거리탄도미사일 3발 발사…남 ‘고체 발사체’ 대응 성격",https://www.khan.co.kr/politics/north-korea/article/202212310849001,2022.12.31 08:49
57," 통일부, 1970년대 남북대화 사료 2차 공개…이후락-김일성 면담 등은 제외",https://www.khan.co.kr/politics/north-korea/article/202212301620001,2022.12.30 16:20
58," 북한 노동당 전원회의 4일째 진행, 31일 결과 발표 가능성…‘대남 대외정책 방향’ 주목",https://www.khan.co.kr/politics/north-korea/article/202212301342001,2022.12.30 13:42
59," 뉴욕총영사, ‘폭설 고립’ 한국 관광객 도운 미국인 부부에 감사 전화",https://www.khan.co.kr/politics/north-korea/article/202212291357001,2022.12.29 13:57
60," 김병주 “북 무인기, 남산까지 온 듯···비행금지구역 통과 가능성 높아”",https://www.khan.co.kr/politics/north-korea/article/202212290845001,2022.12.29 08:45
61," 북한 무인기 ‘격추 실패’ 군, 오늘 합동방공훈련",https://www.khan.co.kr/politics/north-korea/article/202212290827001,2022.12.29 08:27
62, 김정은 “당조직 전투력 증대시키고 당사업 참신하게 해 나가야”,https://www.khan.co.kr/politics/north-korea/article/202212290744001,2022.12.29 07:44
63, 가치와 국제규범 기반의 인도태평양 전략 발표···중국 의식해 ‘포용’ 강조했지만 ‘미국 동조화’ 뚜렷,https://www.khan.co.kr/politics/north-korea/article/202212281846001,2022.12.28 18:46
64," 김정은, 무인기 도발 뒤 “국방력 새 핵심목표”···내년도 “대적투쟁”에 ‘강 대 강’",https://www.khan.co.kr/politics/north-korea/article/202212281652001,2022.12.28 16:52
65, 패트리어트 미사일부대 찾은 한덕수 “무인기 도발 경계태세 강화”,https://www.khan.co.kr/politics/north-korea/article/202212281530001,2022.12.28 15:30
66," 김정은, 소년단원들에 “미국놈들과 앞잡이들이 기회 노려···원수들 미워해야”",https://www.khan.co.kr/politics/north-korea/article/202212281031011,2022.12.28 10:31
67," 김정은, 전원회의서 새로운 국방력강화 목표 제시",https://www.khan.co.kr/politics/north-korea/article/202212280800001,2022.12.28 08:00
68, 무인기 도발날 ‘두 탕’ 뛴 김정은···전원회의 후 ‘헌법기념식’ 첫 참석,https://www.khan.co.kr/politics/north-korea/article/202212271702001,2022.12.27 17:02
69," 김정은, 북 헌법 50주년 행사 참석···최룡해 “미국 핵공갈에 종지부”",https://www.khan.co.kr/politics/north-korea/article/202212270859001,2022.12.27 08:59
70, 김정은 “더욱 격앙되고 확신있는 투쟁”···북한 노동당 전원회의 시작,https://www.khan.co.kr/politics/north-korea/article/202212270749001,2022.12.27 07:49
71," 북 무인기, 서울 침범 ‘허 찔린 방공망’",https://www.khan.co.kr/politics/north-korea/article/202212262109025,2022.12.26 21:09
72," [아듀 2022 송년 기획] 북한, 올해 미사일 도발 42건 ‘최다’…대화 모멘텀 ‘가물’",https://www.khan.co.kr/politics/north-korea/article/202212262059005,2022.12.26 20:59
73," 북한 무인기 5대 영공 침범, 1대는 서울까지···격추 실패 ‘방공망 구멍’",https://www.khan.co.kr/politics/north-korea/article/202212262009001,2022.12.26 20:09
74, 북한 무인기 남하에···인천·김포 공항 여객기 운항 1시간  중단,https://www.khan.co.kr/politics/north-korea/article/202212261708001,2022.12.26 17:08
75, 5년 전보다 강력해진 북한…‘트럼프’도 ‘평창’도 없는 한반도 운명은?,https://www.khan.co.kr/politics/north-korea/article/202212261550001,2022.12.26 15:50
76, 끊임없이 ‘영하 20도’ 백두산으로…북 “혁명위업 대를 이어 완성”,https://www.khan.co.kr/politics/north-korea/article/202212251137001,2022.12.25 11:37
77, 북한 “러시아에 군수물자 수송 일본 언론 보도 황당무계한 모략”···정부 “안보리 결의 정면 위반”,https://www.khan.co.kr/politics/north-korea/article/202212231446001,2022.12.23 14:46
78, 러 용병회사 “북한이 우리에게 무기 판매했다는 미국의 발표는 억측”,https://www.khan.co.kr/politics/north-korea/article/202212230714001,2022.12.23 07:14
79," 미국 “북한, 우크라 침공한 러 용병조직에 지난달 로켓·미사일 판매”",https://www.khan.co.kr/politics/north-korea/article/202212230702001,2022.12.23 07:02
80, 핵개발·외화벌이 노린 북한 해킹···국정원 “가상자산 해킹 세계 최고”,https://www.khan.co.kr/politics/north-korea/article/202212221632001,2022.12.22 16:32
81, 김주애로 상징된 ‘후대 안전’…5년만에 북한 ‘조선소년단’ 대회 개최,https://www.khan.co.kr/politics/north-korea/article/202212211539011,2022.12.21 15:39
82," 북 김여정, ICBM 기술 의문에 “실제 각도 발사, 곧 보게 될 것”",https://www.khan.co.kr/politics/north-korea/article/202212202047015,2022.12.20 20:47
83," 올해 성과 부족한 김정은, 김여정 내세워 ‘발끈’···남한에 불만 쏟아내",https://www.khan.co.kr/politics/north-korea/article/202212201802001,2022.12.20 18:02
84, 북 김여정 ‘말폭탄’ 이어 외무성 담화···같은날 한·미·일 싸잡아 비난,https://www.khan.co.kr/politics/north-korea/article/202212201707001,2022.12.20 17:07
85," 통일부, 김여정 비난에 “일희일비 안해···대화 테이블로 나오라”",https://www.khan.co.kr/politics/north-korea/article/202212201140001,2022.12.20 11:40
86," 북한 외무성, 일본 ‘적기지 반격’ 채택에 “실제 행동으로 보여줄 것”",https://www.khan.co.kr/politics/north-korea/article/202212200954001,2022.12.20 09:54
87," [속보]김여정, 정찰위성 ‘조악한 수준’ 지적에 “개짖는 소리로 분노 키워”",https://www.khan.co.kr/politics/north-korea/article/202212200925001,2022.12.20 09:25
88, 북 “정찰위성 최종 시험 성공”…촬영했다는 서울 사진 ‘흐릿’,https://www.khan.co.kr/politics/north-korea/article/202212192032005,2022.12.19 20:32
89, 연말 ‘핵무력 개발’ 질주하는 북한···“내년 4월까지 정찰위성 준비 끝”,https://www.khan.co.kr/politics/north-korea/article/202212191628001,2022.12.19 16:28
90," 북, 서울 찍은 사진 공개 “정찰위성 최종단계, 어제 시험 발사”",https://www.khan.co.kr/politics/north-korea/article/202212190753001,2022.12.19 07:53
91," 북, 고체연료 엔진 이용한 새 MRBM 시험?",https://www.khan.co.kr/politics/north-korea/article/202212182043005,2022.12.18 20:43
92, 김정일 11주기 이튿날 미사일 2발 발사한 북한…신형 고체연료 준중거리탄도미사일(MRBM) 가능성,https://www.khan.co.kr/politics/north-korea/article/202212181730011,2022.12.18 17:30
93," 북한, 김정일 11주기 맞아 “김정일 애국염원을 김정은이 현실로”",https://www.khan.co.kr/politics/north-korea/article/202212170918001,2022.12.17 09:18
94, 일본 “북한에 반격 능력 행사시 한국 정부 허가 필요 없어”,https://www.khan.co.kr/politics/north-korea/article/202212162216001,2022.12.16 22:16
95, 북 “고출력 고체연료 발동기 시험 성공”…ICBM 기동성 높여,https://www.khan.co.kr/politics/north-korea/article/202212162127015,2022.12.16 21:27
96," “북한, 김주애 계속 노출할 것”···내년도 남북관계 전망 ‘먹구름’",https://www.khan.co.kr/politics/north-korea/article/202212161533001,2022.12.16 15:33
97, 김정은 “신형전략무기 출현 기대”…ICBM 고체연료 엔진 시험,https://www.khan.co.kr/politics/north-korea/article/202212160811001,2022.12.16 08:11
98," 유엔, 북한인권결의안 전원동의 채택…“피해 유족에 정보 공개하라” 문장 추가",https://www.khan.co.kr/politics/north-korea/article/202212160804001,2022.12.16 08:04
99, 12억 상당 민간 영양물자 북한에 전달···3건 중 2건 윤석열 정부 때,https://www.khan.co.kr/politics/north-korea/article/202212151133011,2022.12.15 11:33
100, 북한인권과 남북관계는 ‘제로섬’?···“인권 문제로 북한과 신뢰 쌓아야”,https://www.khan.co.kr/politics/north-korea/article/202212141725001,2022.12.14 17:25
101, 권영세 “북한 7차 핵실험시 전례없는 제재···내년초 민간 협력 재개 여건 조성”,https://www.khan.co.kr/politics/north-korea/article/202212131800001,2022.12.13 18:00
102, 미 국무차관 “한국의 IRA 우려 진지하게 보고 있다”,https://www.khan.co.kr/politics/north-korea/article/202212130906001,2022.12.13 09:06
103, “최악의 환경” 올해 농사 결산…주민들에 ‘거름과 과학’ 되새긴 북한,https://www.khan.co.kr/politics/north-korea/article/202212121131001,2022.12.12 11:31
104," 북한 청년층, 한겨울에도 백두산 올라 ‘애국신념’ 사상교육",https://www.khan.co.kr/politics/north-korea/article/202212111345001,2022.12.11 13:45
105, 미 “대북제재 이행해야” vs 중 “북 우려 해결해야”…양측 북핵대표 회담,https://www.khan.co.kr/politics/north-korea/article/202212091759001,2022.12.09 17:59
106," 정부, ‘북한인권 증진 계획’ 논의···내년 초 ‘북한인권 백서’ 공개",https://www.khan.co.kr/politics/north-korea/article/202212091507001,2022.12.09 15:07
107, 남북 대치 속 통일부 조직개편···‘대북 전략’ 키우고 ‘공동기구’ 통폐합,https://www.khan.co.kr/politics/north-korea/article/202212091127001,2022.12.09 11:27
108, 법 고쳐 식량난 개선하려는 북한 “양곡 수매·판매 질서 엄격히”,https://www.khan.co.kr/politics/north-korea/article/202212081700011,2022.12.08 17:00
109," 김정은, 당·정·군 인사 ‘바꾸고 또 바꾼다’ 왜?",https://www.khan.co.kr/politics/north-korea/article/202212081430001,2022.12.08 14:30
110," 북한, ‘이태원 참사’ 보고서 형태 파일에 악성코드 유포 시도",https://www.khan.co.kr/politics/north-korea/article/202212080847001,2022.12.08 08:47
111," 북한, 내년 1월17일 최고인민회의…국가 예산 등 논의",https://www.khan.co.kr/politics/north-korea/article/202212070745011,2022.12.07 07:45
112, “북한 동창리 로켓발사대 패널 열려…새로운 발사 준비 가능성”,https://www.khan.co.kr/politics/north-korea/article/202212061532001,2022.12.06 15:32
113," 통일부, ‘북한군 적’ 표기에 “남북 대화·협력 부정하는 것 아냐”",https://www.khan.co.kr/politics/north-korea/article/202212061110001,2022.12.06 11:10
114, 북한군 “적들이 또다시 포 사격···해상실탄 포 사격 단행 명령”,https://www.khan.co.kr/politics/north-korea/article/202212061045001,2022.12.06 10:45
115," 북, 동·서해 완충구역에 130여발 포병 사격…17일 만에 또 무력 시위",https://www.khan.co.kr/politics/north-korea/article/202212052121025,2022.12.05 21:21
116," 북한, 동·서해완충구역 내 130여발 포병사격···합참 “명백한 9·19 합의위반”",https://www.khan.co.kr/politics/north-korea/article/202212051710001,2022.12.05 17:10
117, ICBM 발사 뒤 ‘군사 행동’ 중단한 북한…당분간 ‘내부 정비’ 주력하나,https://www.khan.co.kr/politics/north-korea/article/202212041555001,2022.12.04 15:55
118," 미국, 북한 ‘종교자유특별우려국’ 재지정…21년째",https://www.khan.co.kr/politics/north-korea/article/202212031341001,2022.12.03 13:41
119, 대통령실 남북 물밑접촉 보도에 “사실무근”,https://www.khan.co.kr/politics/north-korea/article/202212021616011,2022.12.02 16:16
120," 미, 북 탄도미사일 개발 관여 전일호·유진·김수길 제재",https://www.khan.co.kr/politics/north-korea/article/202212020901001,2022.12.02 09:01
121, 김정은 “2023년은 역사적인 해” 노동당 전원회의 소집…새해 경제·군사 구상 밝힐듯,https://www.khan.co.kr/politics/north-korea/article/202212011450001,2022.12.01 14:50
122, 김정은 “침략의 아성 모조리 불마당질”…전투기 조종사들 “백두혈통 보위”,https://www.khan.co.kr/politics/north-korea/article/202212011127001,2022.12.01 11:27
123, 북한 “백두산으로 가자”…김정은·김주애 ‘백두 혈통’ 충성 혈안,https://www.khan.co.kr/politics/north-korea/article/202211301124001,2022.11.30 11:24
124," 소설엔 SF요소, TV로 영화 예고···새로워졌지만 여전한 ‘결사옹위’",https://www.khan.co.kr/politics/north-korea/article/202211301116001,2022.11.30 11:16
125," 판문점 ‘첫 방문’ 권영세 통일장관, 북한에 “지도부 미래 생각하라” 대화 촉구",https://www.khan.co.kr/politics/north-korea/article/202211291734001,2022.11.29 17:34
126, ‘핵무력 완성 5주년’ 북한 “원쑤들에게 무자비” ICBM·공군력 칭송,https://www.khan.co.kr/politics/north-korea/article/202211291312001,2022.11.29 13:12
127, ‘김정은 딸’ 구글검색어 급증…ICBM 관심보다 더 높다,https://www.khan.co.kr/politics/north-korea/article/202211281339001,2022.11.28 13:39
128, 엄마 리설주 스타일로…또 등장한 김정은 딸,https://www.khan.co.kr/politics/north-korea/article/202211272110005,2022.11.27 21:10
